dead_reakoing_mean_dist,dead_reakoing_mean_step,dead_reakoing_percent,fake_location,goal_location,metric-0,metric-1,metric-2,metric-3,real_location
21.3702968735034,26.69865771812081,0.0,"(-6.2565973630584155, -4.223018935115582)","(2.3500000000000014, 14.450000000000003)",1442.0,14724.63062222222,1095.8555874244976,2753.3,"(-6.35, -5.499999999999998)"
19.60296466839961,37.809701492537314,0.0,"(3.2316139796922667, -6.630637347849821)","(-15.6, -13.999999999999998)",1455.0,201491.92448888888,2272.610171815559,2869.54,"(3.200000000000003, -5.499999999999998)"
27.21002739443582,57.10952380952379,0.0,"(11.7749143603127, -19.6365756067212)","(-10.1, -1.7499999999999964)",1508.0,336108.03626666666,747.3184861419577,2370.12,"(12.950000000000003, -18.349999999999998)"
22.077067389506013,16.806015037593983,0.0,"(27.669147257839512, -14.508393289355821)","(24.75, 7.300000000000004)",1181.0,152973.01,1306.9132771887075,85.94,"(27.5, -15.849999999999998)"
47.35014496343733,8.734228187919463,0.0,"(-12.662023855666494, 9.969961399306106)","(28.1, -14.549999999999997)",2529.0,42702.91395555556,669.9259063982033,3350.52,"(-12.1, 8.600000000000001)"
21.602994508020128,24.439041095890413,0.0,"(7.155900097639606, 20.121556756901207)","(-13.5, 12.950000000000003)",1055.0,29824.1504,1141.9655397137708,2122.2466666666664,"(8.5, 21.1)"
20.54112241692647,27.29127516778524,0.0,"(1.0168363203774777, 18.854264262435827)","(12.899999999999999, 2.400000000000002)",1580.0,17898.205155555548,3196.1143385682044,3214.766666666667,"(2.25, 17.6)"
28.254347667127472,40.14525547445256,0.0,"(25.398710512771537, 3.2957331766000633)","(-2.0500000000000007, 13.100000000000001)",1320.0,139979.06222222222,1415.0541340505756,2421.5866666666666,"(26.800000000000004, 2.3500000000000014)"
35.19861931711448,37.51800000000001,0.0033333333333333327,"(0.6684973740899639, 21.3871420675426)","(26.950000000000003, -3.049999999999997)",1777.0,471.25706666666673,3853.332287657073,2851.546666666666,"(1.4000000000000021, 22.6)"
18.01741431683336,26.000675675675677,0.0,"(16.66312454138993, -14.46663245609594)","(12.350000000000001, 3.3000000000000043)",1182.0,19777.33195555555,2728.945722970817,2009.226666666667,"(16.700000000000003, -16.349999999999998)"
34.02539679627412,23.502,0.0,"(33.90328195725654, -14.510474419027522)","(1.1500000000000021, -3.6499999999999986)",1486.0,367.3524,1384.4080702850422,1351.94,"(32.900000000000006, -14.849999999999998)"
19.154672024499487,22.375177304964534,0.0,"(7.691991336023643, -17.902413651047933)","(22.200000000000003, -4.899999999999999)",1354.0,103710.15128888887,2824.317796477227,2197.96,"(7.75, -16.9)"
36.0731274818469,85.82093023255813,0.034883720930232565,"(15.459528096375267, 22.122521550398393)","(34.050000000000004, -9.549999999999997)",0.0,710449.5298222222,127.50048080448921,573.9,"(15.700000000000003, 20.300000000000004)"
11.634947986013124,45.51466666666666,0.0,"(-7.403467038602796, 9.65613813710432)","(-0.4499999999999993, 0.9500000000000028)",1355.0,357.11893333333336,3041.3742662114228,2771.0933333333332,"(-8.549999999999999, 8.100000000000001)"
25.377038784296666,27.18296296296297,0.0,"(9.042812753318337, 5.4655667246754405)","(-14.05, -4.449999999999999)",1566.0,212924.6016,1159.265363945117,3213.413333333333,"(7.25, 6.350000000000001)"
32.855391312777854,46.01374045801526,0.0,"(14.858706031802214, -0.6875682239579421)","(-17.6, -4.749999999999998)",0.0,705903.5752888889,1550.5988911020404,3825.0933333333332,"(15.899999999999999, 0.5000000000000036)"
37.6079637194684,21.641134751773052,0.0,"(-1.2040868050869191, -15.94753556022874)","(5.5, 20.950000000000003)",2440.0,338835.8151555556,2157.027814360041,5313.6866666666665,"(-1.5999999999999979, -17.45)"
25.374167242193035,25.95000000000001,0.0,"(16.98865281797949, 17.77257623541464)","(29.200000000000003, -5.049999999999997)",1209.0,87400.41248888889,50.04397028458249,723.6666666666665,"(16.0, 17.400000000000006)"
30.425782590917287,22.410489510489512,0.0,"(12.781845335601131, 14.422087145641095)","(-12.899999999999999, -2.6999999999999993)",1506.0,104779.48,671.388177071754,2917.066666666666,"(12.25, 15.350000000000001)"
32.75496782013439,59.46928571428572,0.0,"(-1.8754026605491378, -7.562290174673644)","(31.950000000000003, -9.899999999999999)",1634.0,168115.51026666665,1510.8047091778371,1509.0466666666666,"(-2.349999999999998, -9.049999999999997)"
