calculation_time_oracle,execute_time_oracle,fake_location,final_location_oracle,finish_covarianceoracle,goal_location,how_far_from_goal_oracle,init_covariance,move_base_status_aborted_oracle,move_base_status_finish_oracle,real_location
0.18639397621154785,28.12819504737854,"(0.707538432708857, 1.0684580460955746)","(-1.0062760190720847, 2.1300911753196194)","[0.0026983903570383383, -0.00018376690430255138, -0.00018376690430255138, 0.00408360087762194, 0.0037271066507201197]","(-1.0269999999999997, 2.048)",0.08466666670453651,"[0.18387341393290635, -0.050271566186541605, -0.050271566186541605, 0.17383131854503997, 0.06087510507084643]",False,True,"(2.0230000000000006, 2.4979999999999993)"
0.1911919116973877,108.9930260181427,"(3.3506017840661175, 0.942183363716101)","(-1.395000151242976, -4.8932999853650685)","[0.0030291907963193587, 0.0017983071033924602, 0.0017983071033924602, 0.0023555542815358876, 0.0008643787601971719]","(-1.3769999999999998, -4.852)",0.04505212798442335,"[0.17259365088062495, -0.04552690046920693, -0.04552690046920693, 0.184429929174623, 0.061992019190698154]",False,True,"(3.673000000000001, -0.2519999999999998)"
20.02441692352295,13.2624990940094,"(-1.2840031567556383, -2.972167253748482)","(-0.7270416442371266, -4.40408714379588)","[0.005460665883737725, 0.0042041152412539695, 0.0042041152412539695, 0.005161682119812383, 0.001810009743797015]","(2.623, -5.002000000000001)",3.4029808700222164,"[0.15585156743986456, 0.03581357688152487, 0.03581357688152487, 0.1682600517637134, 0.060852627119536616]",True,False,"(-0.7269999999999994, -4.402)"
20.072068929672238,0.001194000244140625,"(1.2687744005561212, -2.093403500750976)","(2.223113607260722, -1.1019464656380904)","[0.17767051684558144, -0.003082339505471765, -0.003082339505471765, 0.18252291170547896, 0.06337729306340563]","(4.423000000000001, 1.2480000000000002)",3.2189669977066235,"[0.17767051684558144, -0.003082339505471765, -0.003082339505471765, 0.18252291170547896, 0.06337729306340563]",True,False,"(2.2230000000000008, -1.1020000000000003)"
4.420884847640991,32.91953420639038,"(2.2905299114530706, -4.822832697680411)","(0.19949453160556652, -4.98326351290659)","[0.1362561215932342, 0.11472523863440509, 0.11472523863440509, 0.12193546563110758, 0.23614507714483005]","(-1.6269999999999998, -1.0019999999999998)",4.380244449021808,"[0.17800767476525148, 0.04561909962776545, 0.04561909962776545, 0.17537035317548444, 0.07009932693552214]",False,True,"(0.8230000000000004, -4.602)"
20.025714874267575,13.776228189468384,"(0.9958076269908036, -2.7004203948082037)","(0.07299130359820805, -1.5040722807008133)","[0.0017946174005113408, -0.00047662670547123087, -0.00047662670547123087, 0.0021522499213673107, 0.001857488448043882]","(4.623, -1.3019999999999996)",4.554493642981574,"[0.18069889760802696, -0.0182212581677743, -0.0182212581677743, 0.1876072853451758, 0.06394273118249999]",True,False,"(0.0730000000000004, -1.5019999999999998)"
0.185826063156128,43.52968096733093,"(0.7690100035387836, 1.6135999746783807)","(-4.718415635108641, 0.39778818377775405)","[0.0026330651417545425, -0.0008600708475698937, -0.0008600708475701158, 0.0034932320125249244, 0.0012065420988669352]","(-4.726999999999999, 0.29800000000000004)",0.1001567418711831,"[0.16824038897191795, -0.03683761368912353, -0.03683761368912353, 0.1657611422470051, 0.06050489580246911]",False,True,"(0.7230000000000008, 2.8480000000000008)"
0.18152904510498047,57.03162097930908,"(2.608469481521216, -3.576736901025801)","(1.5165240249013363, 1.6038832101802)","[0.002090046442926763, -0.001304493366788062, -0.001304493366788062, 0.0024227031387709097, 0.0019075242350072626]","(1.4730000000000008, 1.548)",0.07083271788980351,"[0.18051320879453847, 0.0430447718034479, 0.0430447718034479, 0.187016206409929, 0.05825407138928618]",False,True,"(3.5230000000000006, -5.252000000000001)"
0.18664908409118647,120.097403049469,"(-1.760081088167413, -3.5354705407328835)","(1.9371817958276425, -4.71318101485703)","[0.0019816276576571923, 0.0007263670279495926, 0.0007263670279478163, 0.0020826177299220205, 0.0010818805662302015]","(1.8730000000000002, -4.752000000000001)",0.07500810971615897,"[0.15890068548183045, -0.03222437493508501, -0.03222437493508501, 0.18576813526738967, 0.061900114444576944]",False,True,"(-3.6769999999999996, -3.1020000000000003)"
0.1899428367614746,13.809179067611694,"(2.0897801982701347, -3.430327175376992)","(1.1620872230371313, -2.924606311051652)","[0.005947806537855094, 0.005421298438833322, 0.005421298438833322, 0.008478979589391145, 0.0019879973958324827]","(1.1230000000000002, -2.902)",0.045153696461291616,"[0.19611149631224278, 0.0011044276339213788, 0.0011044276339209347, 0.36495782518316844, 0.1845044119823136]",False,True,"(1.0230000000000006, -2.202)"
20.018085002899173,13.67995285987854,"(1.9503245364124493, 1.945524596267822)","(3.4729261823123543, 2.6459088227214274)","[0.12443168960083284, -0.12562574559857254, -0.1256257455985743, 0.12932314068301132, 0.0014581713287654917]","(-3.327, -0.40200000000000014)",7.451761152675265,"[0.18528384745823168, -0.04300318761431221, -0.04300318761431221, 0.1883172231599426, 0.05469822936729317]",True,False,"(3.473, 2.6479999999999997)"
0.18748903274536133,62.74129700660706,"(-2.5850506224428567, 1.5795569424265528)","(-3.875516295924794, -3.843870725207662)","[0.0021758366689201836, -0.0002718338042626556, -0.0002718338042626556, 0.001961398881029197, 0.0009449192278381982]","(-3.877, -3.8520000000000003)",0.008263563785203798,"[0.1744780371403909, 0.0002789653026984418, 0.00027896530269838626, 0.1750256681397437, 0.06515268285520592]",False,True,"(-1.6269999999999998, 0.29800000000000004)"
20.023535966873172,9.487874031066896,"(-3.225726755593967, 0.5417028345099428)","(-1.8768618535775428, 1.5480602646222512)","[0.1889461271955133, 0.023422192615939252, 0.023422192615939252, 0.14989228924471654, 0.06530106544655448]","(2.8230000000000004, -2.702)",6.3365379897570495,"[0.1889461271955133, 0.023422192615939252, 0.023422192615939252, 0.14989228924471654, 0.06530106544655448]",True,False,"(-1.8769999999999998, 1.548)"
0.12957191467285156,83.96635007858276,"(-2.045752087363167, -3.5905663061229007)","(1.1023902842052204, 1.913178406820434)","[0.002659710414884442, -0.0019899115992987326, -0.0019899115992987326, 0.0036401341515794883, 0.0008564507428706582]","(1.0730000000000004, 1.8479999999999999)",0.0714983462837682,"[0.1872041867977705, 0.01711740869687084, 0.01711740869687084, 0.2076420440183675, 0.05316421724030722]",False,True,"(-2.3269999999999995, -5.502000000000001)"
