dead_reakoing_mean_dist,dead_reakoing_mean_step,dead_reakoing_percent,fake_location,goal_location,metric-0,metric-1,metric-2,metric-3,real_location
3.765534959698616,223.78161764705882,0.2779411764705882,"(4.027565547967196, 0.6909240349618997)","(1.423000000000001, -3.202)",781.0,54112.315955555554,3143.4654088137268,791.8733333333333,"(3.123, -0.5519999999999996)"
5.523862119028218,70.78541666666666,0.0,"(-1.8989605489037442, -0.4972224700229704)","(2.623, 2.1980000000000004)",781.0,23353.54795555556,3081.6361448074467,941.8066666666666,"(-3.4269999999999996, -0.10200000000000031)"
4.305626662744674,40.389041095890406,0.0773972602739726,"(2.142545285614105, 0.8718053939071738)","(3.7730000000000006, -3.552)",232.0,2345.9278222222224,297.59621150407924,142.53333333333333,"(2.673000000000001, 1.7480000000000002)"
5.15687626649149,223.6422413793104,0.4741379310344828,"(4.610239745294135, -5.085444728202473)","(4.223, 1.9480000000000004)",462.0,36818.66862222222,1631.6940376497355,194.1133333333333,"(2.7730000000000006, -4.852)"
2.0420652658316882,19.908666666666665,0.044000000000000004,"(-0.5716917826876573, -4.260183885210291)","(0.6730000000000009, -2.2520000000000002)",100.0,3807.547066666667,382.4356297449305,443.07333333333327,"(-1.7269999999999994, -4.752000000000001)"
6.7181992671699655,24.909395973154364,0.0,"(-1.4053534252580375, -0.8716143969216705)","(3.0730000000000004, -5.3020000000000005)",781.0,4067.7509333333333,4813.7714038810245,439.27333333333326,"(-0.4269999999999996, -1.952)"
4.179742170026009,135.21148648648648,0.13108108108108107,"(1.9503245364124493, 1.945524596267822)","(-3.327, -0.40200000000000014)",781.0,10910.964488888889,4127.635736942088,758.78,"(3.473, 2.6479999999999997)"
5.7693684060567785,7.935172413793103,0.0,"(-0.6497592900820965, -4.510349860589565)","(-4.327, -0.3019999999999996)",201.0,5157.112222222222,1089.1908938804554,275.0933333333333,"(0.7730000000000006, -4.452)"
5.251713448484304,43.02230769230769,0.004615384615384616,"(1.449020239769085, -1.945102422114977)","(0.6730000000000009, 2.7479999999999993)",682.0,52537.121822222216,2390.070640329075,734.8333333333335,"(2.673000000000001, -2.152)"
6.394090770796804,36.420279720279716,0.0,"(0.9958076269908036, -2.7004203948082037)","(4.623, -1.3019999999999996)",781.0,29349.980488888883,3694.382434580449,639.2533333333333,"(0.0730000000000004, -1.5019999999999998)"
3.6708012041821534,64.80544217687076,0.0598639455782313,"(-1.5548373471467785, -0.8780400668158768)","(-1.5269999999999997, -5.752000000000001)",259.0,2426.9524,561.4570517844946,517.8466666666667,"(-2.877, -1.952)"
1.8624131135082784,41.3609589041096,0.0684931506849315,"(1.5246954291000254, -3.9249367232215917)","(-0.827, -4.402)",159.0,3910.1850666666655,651.3497135042013,516.32,"(1.9730000000000008, -4.852)"
2.9014022664623886,74.50833333333334,0.023611111111111114,"(-3.495922196458278, 0.7603259659990054)","(0.3730000000000002, 2.3979999999999997)",205.0,2968.4606222222224,1289.0252775775866,215.30666666666667,"(-3.2769999999999997, -0.7519999999999998)"
2.7279184951336632,53.93599999999999,0.106,"(-0.31551056603955374, 2.909124283134574)","(-2.8269999999999995, 0.09799999999999986)",736.0,107445.9255555556,290.40988317077097,228.58666666666667,"(0.6730000000000009, 1.9979999999999993)"
0.10428451998351436,646.7625,0.9875,"(4.330710238900265, 2.7186156911562582)","(-2.127, 0.5979999999999999)",0.0,24334.12395555555,4.7565169399490825,35.69333333333333,"(2.5730000000000004, 1.8979999999999997)"
0.036868986571287794,774.6385542168674,1.0,"(4.856410813125372, -3.701684418376462)","(1.423000000000001, -3.3520000000000003)",0.0,149955.19182222226,1346.439575827539,488.3733333333333,"(3.623, -5.102)"
1.835646569360892,39.491333333333344,0.12,"(-1.731675057059007, -4.001725492527301)","(0.5730000000000004, -3.652)",130.0,688.4498222222223,530.7967199309386,459.57333333333327,"(-1.7269999999999994, -5.902)"
5.832453389787824,31.198591549295784,0.0,"(1.2687744005561212, -2.093403500750976)","(4.423000000000001, 1.2480000000000002)",781.0,30757.698888888888,3422.3837203571147,887.18,"(2.2230000000000008, -1.1020000000000003)"
4.263437530830483,37.13862068965517,0.02206896551724138,"(1.8521220963517644, -4.353699218572755)","(3.673000000000001, -0.2519999999999998)",781.0,29946.75648888888,177.49306523604,242.8733333333333,"(1.5730000000000004, -5.502000000000001)"
6.108721425923034,16.677702702702707,0.0,"(-1.4541293405676328, -3.597039098985829)","(0.8730000000000002, -5.852)",781.0,8033.989155555559,3735.3726261124507,469.8466666666667,"(-1.6269999999999998, -2.302)"
4.190368504794495,67.95234899328861,0.15771812080536912,"(1.7615202564017043, 1.057360499705236)","(-0.9769999999999994, -4.052)",262.0,573.2757333333334,1951.3416628634327,461.26666666666665,"(0.8230000000000004, 1.8479999999999999)"
1.053360798476476,640.6049586776859,0.8264462809917357,"(4.5232334301425245, 1.4193082796182468)","(-0.7269999999999994, -2.002)",781.0,93923.32,2112.419509000628,625.0266666666666,"(3.5230000000000006, 2.0980000000000008)"
1.9599362905981128,44.84344827586207,0.07724137931034482,"(0.27966621770691713, 2.193735250581591)","(-2.727, 2.2479999999999993)",116.0,934.111288888889,1294.182574490831,252.04,"(-0.9269999999999996, 1.4480000000000004)"
3.2301688382619202,45.06122448979593,0.006802721088435374,"(1.0883032326011919, 1.4661544076061128)","(4.473, 1.9480000000000004)",196.0,1008.2088888888884,936.0116315209233,141.31333333333333,"(-0.7269999999999994, 1.5979999999999999)"
0.6120625094745629,27.08296296296297,0.3555555555555556,"(2.0897801982701347, -3.430327175376992)","(1.1230000000000002, -2.902)",49.0,9272.893333333332,47.455753077199404,78.12666666666667,"(1.0230000000000006, -2.202)"
2.223578259359716,159.7846715328467,0.03138686131386862,"(-2.677399412353785, 0.7700849582142606)","(-4.327, -0.0019999999999997797)",567.0,27910.785822222217,1865.056856187291,605.36,"(-2.4769999999999994, -0.8520000000000003)"
6.2599647848541835,13.985517241379313,0.0,"(-1.0796693607892422, -1.8775219137922168)","(0.7730000000000006, -5.952)",781.0,19654.29888888889,3449.9264277337707,463.4066666666667,"(-2.6769999999999996, -2.2520000000000002)"
5.474270854069258,28.89379310344828,0.0006896551724137933,"(0.25258133055883736, -4.5263157043842925)","(-1.0269999999999997, 1.298)",201.0,2906.738888888889,920.700690907928,531.7133333333334,"(1.5730000000000004, -4.752000000000001)"
3.817859807438849,45.230872483221475,0.003355704697986577,"(-0.9347933413817016, 0.4616628366310378)","(2.3230000000000004, 0.29800000000000004)",782.0,10064.903333333332,3472.3102212778526,882.8266666666667,"(-1.9769999999999994, -0.0019999999999997797)"
7.190732079334358,68.49797297297296,0.0,"(-3.225726755593967, 0.5417028345099428)","(2.8230000000000004, -2.702)",539.0,8057.551155555554,1900.5157725942365,381.5933333333333,"(-1.8769999999999998, 1.548)"
