calculation_time_oracle,execute_time_oracle,fake_location,final_location_oracle,finish_covarianceoracle,goal_location,how_far_from_goal_oracle,init_covariance,move_base_status_aborted_oracle,move_base_status_finish_oracle,real_location
20.015720844268802,22.474160194396973,"(-0.9347933413817016, 0.4616628366310378)","(-1.9744017600750106, -0.007563465354979124)","[0.0109261048906375, -0.010122103595923415, -0.010122103595923415, 0.011059713809200806, 0.001176487983110776]","(2.3230000000000004, 0.29800000000000004)",4.308251492062127,"[0.16132805453930477, -0.03484313551817694, -0.03484313551817696, 0.1689569953145446, 0.06423997956301143]",True,False,"(-1.9769999999999994, -0.0019999999999997797)"
0.13135814666748047,18.288935899734497,"(-0.8431186337278354, -6.003806492975875)","(-0.535110057782161, -1.5123940929418793)","[0.0018543001398019787, 0.0002074115873372806, 0.0002074115873372806, 0.00211175458002133, 0.0008909566538465667]","(-0.5269999999999992, -1.5019999999999998)",0.013183709846413979,"[0.1481279222284715, 0.03678118763237048, 0.036781187632369594, 0.1761811435485523, 0.05895343196887053]",False,True,"(-1.0769999999999995, -4.052)"
0.1981198787689209,114.8873209953308,"(1.5246954291000254, -3.9249367232215917)","(-0.8441207236068978, -4.334974946949332)","[0.004174752204215149, 0.0006687074330162801, 0.0006687074330162801, 0.002726417880353438, 0.0012081004128883985]","(-0.827, -4.402)",0.06917714155173403,"[0.16472784846042554, 0.06775465965208127, 0.06775465965208127, 0.1779628104505555, 0.06012888496292629]",False,True,"(1.9730000000000008, -4.852)"
0.1873741149902344,67.41935801506042,"(-4.673552850870819, -3.995844040668095)","(2.1820757385647265, 2.352293958496316)","[0.008931720933492926, -0.008071600969418391, -0.008071600969417503, 0.009883734729755567, 0.0008125185773219611]","(2.2230000000000008, 2.298)",0.06798991912940007,"[0.15668879914768397, -0.032816435510172326, -0.032816435510172326, 0.18182552392191997, 0.06109205253732976]",False,True,"(-4.276999999999999, -2.802)"
0.12874507904052734,14.87291693687439,"(4.2763901495721495, -1.4534105928941283)","(0.9141523867930318, -2.890335071260105)","[0.006475894223472389, -0.00020233660464441527, -0.00020233660464441527, 0.008339234262148665, 0.002930942209071994]","(0.8730000000000002, -2.902)",0.042773701047140116,"[0.1945203638307138, 0.024548223159637672, 0.024548223159637672, 0.18166269562382364, 0.06928391423434377]",False,True,"(3.2730000000000006, -2.002)"
0.186661958694458,8.313992023468018,"(-4.595758722957059, 2.0265387283274863)","(-2.5043174345711137, 1.8492242235724865)","[0.028832978176912327, -0.015322663693537741, -0.015322663693537741, 0.022124256017710398, 0.004202622945778884]","(-2.4269999999999996, 1.6980000000000004)",0.16984331451005005,"[0.1994854917923199, -0.009787496786439753, -0.009787496786440641, 0.19631542722332407, 0.05516438100631944]",False,True,"(-2.9269999999999996, 1.6479999999999997)"
0.18587207794189453,51.4144229888916,"(0.9768371320378941, 0.6505408522244871)","(2.234645103977046, -5.3346634058662366)","[0.006895526758310844, 0.0051694890703917196, 0.0051694890703917196, 0.006582330027860905, 0.0012828295116324858]","(2.2230000000000008, -5.352)",0.02088458624907491,"[0.15218736575325575, -0.05778124981406818, -0.05778124981406818, 0.1905202599346875, 0.06704274065770426]",False,True,"(2.173000000000001, 0.4480000000000004)"
0.18362903594970706,41.85987901687622,"(-1.8989605489037442, -0.4972224700229704)","(2.530994194187846, 2.320098115622102)","[0.02873208631270252, -0.027297297411126742, -0.027297297411126742, 0.028024498197202874, 0.0006503130939877896]","(2.623, 2.1980000000000004)",0.15288236700683275,"[0.16603417630865458, -0.03769492072994818, -0.03769492072994812, 0.1698542381130785, 0.06074720905140972]",False,True,"(-3.4269999999999996, -0.10200000000000031)"
0.14104509353637695,63.35179090499878,"(1.7615202564017043, 1.057360499705236)","(-0.9191750139656805, -3.953481141639891)","[0.0031866893953499398, 0.0010327498076012631, 0.0010327498076012631, 0.002616942847168957, 0.0012071332663318262]","(-0.9769999999999994, -4.052)",0.11423525927859722,"[0.14589111275156397, -0.07843012023688245, -0.07843012023688245, 0.14411938378877354, 0.06602456907124116]",False,True,"(0.8230000000000004, 1.8479999999999999)"
20.02547287940979,23.191681146621704,"(-3.225726755593967, 0.5417028345099428)","(-1.8743996973555366, 1.5424366048819285)","[0.002954690314981079, -0.0019362983490114338, -0.0019362983490114338, 0.0058261036014108925, 0.0019257210418368908]","(2.8230000000000004, -2.702)",6.330940373244524,"[0.19137257062867175, -0.022252955517688466, -0.022252955517688466, 0.18452013769836606, 0.05668194690909188]",True,False,"(-1.8769999999999998, 1.548)"
