calculation_time_oracle,execute_time_oracle,fake_location,final_location_oracle,finish_covarianceoracle,goal_location,how_far_from_goal_oracle,init_covariance,move_base_status_aborted_oracle,move_base_status_finish_oracle,real_location
0.1969809532165528,72.33705806732178,"(1.8444062097352991, -6.090878116619872)","(1.0511899746182345, 1.6071193487095932)","[0.009619722318473967, 0.008157143817406398, 0.00815714381740662, 0.009242977958419551, 0.002080598082813344]","(0.8730000000000002, 1.4980000000000002)",0.2089466422732194,"[0.13036554302864858, 0.05916985406266151, 0.05916985406266151, 0.13678492227541028, 0.06444563501155168]",False,True,"(0.17300000000000093, -6.002000000000001)"
0.18676400184631348,29.92668700218201,"(3.5738568929677963, 1.5865876187144325)","(1.7280051383507067, -3.3162427560132275)","[0.005842961141784286, 0.0035496572195947707, 0.0035496572195947707, 0.004473911779545148, 0.001461761429440882]","(1.673000000000001, -3.452)",0.14647728335774238,"[0.19732653348757623, -0.0007078889798848298, -0.0007078889798848298, 0.19333651830041565, 0.054536491156994465]",False,True,"(3.0230000000000006, 0.6479999999999997)"
0.1295619010925293,34.37826108932495,"(-3.495922196458278, 0.7603259659990054)","(0.38613897427484817, 2.3895125798372763)","[0.002505952737128281, 0.0002760859912103175, 0.0002760859912103175, 0.002464848453739066, 0.0012919536644758992]","(0.3730000000000002, 2.3979999999999997)",0.015641897136016467,"[0.15033924613101135, -0.01990605104095966, -0.019906051040960104, 0.19789762596535598, 0.06479170543531591]",False,True,"(-3.2769999999999997, -0.7519999999999998)"
0.13619518280029294,91.79059100151062,"(4.580667672674808, -3.4831553117066587)","(-3.641906758888973, 0.8463416854793154)","[0.0029350885564642937, 0.0014258700542066904, 0.0014258700542066904, 0.003137993286057128, 0.000800078206825771]","(-3.627, 0.798)",0.050587844543477416,"[0.18500440007853314, 0.047945242151048006, 0.047945242151048006, 0.1917345118360636, 0.058460842201986614]",False,True,"(4.473, -5.202)"
0.19698500633239746,44.52297616004944,"(1.7615202564017043, 1.057360499705236)","(-0.9488781944595499, -4.0043109534474635)","[0.0026002211159718014, 0.0012071335014263163, 0.0012071335014263163, 0.0027549102364403666, 0.0016308389926601907]","(-0.9769999999999994, -4.052)",0.05536317465558506,"[0.1935802011872828, 0.011897687839627302, 0.011897687839627302, 0.18537379845942503, 0.05781051323352364]",False,True,"(0.8230000000000004, 1.8479999999999999)"
0.18940997123718264,46.80467891693115,"(0.9128206675892838, 2.278197554863361)","(-2.416678061021382, 0.9705773152546977)","[0.0019125692945909378, 0.0005457614490311791, 0.0005457614490311791, 0.0018280523507363533, 0.0014419797192926835]","(-2.4269999999999996, 0.9980000000000002)",0.029300956689476125,"[0.19415293368909828, 0.015163166394398825, 0.015163166394398825, 0.1753888518896628, 0.059640958346666405]",True,False,"(-0.1769999999999996, 0.9480000000000004)"
0.18574094772338867,59.721462965011604,"(3.2814088409852222, -1.7418018186790318)","(-4.322413500165707, -5.267593367426822)","[0.003894910417578501, -0.0014144846694534863, -0.0014144846694534863, 0.0047398924933581554, 0.0013370028707832917]","(-4.327, -5.3020000000000005)",0.0347109830710061,"[0.17016049387665344, 0.0184997244103704, 0.0184997244103704, 0.18530636548572535, 0.05985072008347791]",False,True,"(2.8230000000000004, -0.3019999999999996)"
0.208251953125,92.46559810638428,"(-1.4541293405676328, -3.597039098985829)","(0.886649193815276, -5.8845605023689505)","[0.007187004717845058, 0.005099004300236132, 0.005099004300236132, 0.0065193562492567025, 0.0016029748837063206]","(0.8730000000000002, -5.852)",0.035305620038817744,"[0.15739440327693188, -0.020214817895388926, -0.020214817895388926, 0.1814452788503358, 0.06327858899239895]",False,True,"(-1.6269999999999998, -2.302)"
0.1928730010986328,74.21749711036679,"(1.5246954291000254, -3.9249367232215917)","(-0.7980713883434476, -4.336353104724953)","[0.002258311759392617, 7.048607147819297e-05, 7.048607147730479e-05, 0.0025956557875623787, 0.0016355568898152493]","(-0.827, -4.402)",0.07173827034176818,"[0.16676981217118714, 0.062233846254310166, 0.062233846254310166, 0.1771638826324704, 0.05882735822502443]",False,True,"(1.9730000000000008, -4.852)"
0.18573999404907227,10.613922119140623,"(-0.7655897719693072, -5.189126943840468)","(-0.7012399421790297, -5.088195346387801)","[0.04807204800688586, 0.03981867701019759, 0.03981867701019759, 0.03632470600470583, 0.006416716393558181]","(-0.5269999999999992, -4.952)",0.2211531818180444,"[0.18061471569467624, 0.013340031400876029, 0.013340031400876029, 0.2080964855314562, 0.05064380114797064]",False,True,"(-2.4769999999999994, -5.0520000000000005)"
3.8108141422271733,58.38921999931336,"(2.2905299114530706, -4.822832697680411)","(0.5723319525839174, -4.782407998097257)","[0.18925053478971998, 0.04417451158957064, 0.04417451158957064, 0.16803277306099673, 0.06988999849557946]","(-1.6269999999999998, -1.0019999999999998)",4.373619287241895,"[0.18925053478971998, 0.04417451158957064, 0.04417451158957064, 0.16803277306099673, 0.06988999849557946]",True,False,"(0.8230000000000004, -4.602)"
0.1851391792297364,39.6269919872284,"(2.3373453757153713, -0.7614909670120606)","(3.034939435476152, -3.2934594202501124)","[0.020263682624618085, 0.017170601651757877, 0.017170601651757877, 0.016695559736168875, 0.0019890115161426553]","(2.873, -3.452)",0.22662633604628835,"[0.1857450197744024, 0.0034562449270059137, 0.0034562449270059137, 0.17880532985632924, 0.05769940911287467]",False,True,"(2.873, 0.34799999999999986)"
0.18269014358520508,71.2211859226227,"(-4.748517824885054, -1.9125292842854986)","(2.8496963174586054, -2.1480519426074154)","[0.0020050777792359753, -0.0008583992233415216, -0.0008583992233424098, 0.005748988542278788, 0.000972442395195143]","(2.873, -2.152)",0.02363575209645871,"[0.15111745757419115, 0.024875900987120447, 0.024875900987120447, 0.1722786294661528, 0.06694838469167239]",False,True,"(-4.327, -0.10200000000000031)"
0.14048004150390625,77.46679401397705,"(-1.4318839243293902, 0.8862268348749783)","(2.3281357944892274, -3.6516010728002994)","[0.023890790491463143, 0.024115787655903276, 0.024115787655903276, 0.025898801155882722, 0.0018119795003507322]","(2.2230000000000008, -3.7520000000000002)",0.14537358723554875,"[0.18332918494196593, 0.022818299508878592, 0.022818299508878592, 0.14958760587289, 0.060992699349607944]",False,True,"(-0.4269999999999996, 1.4980000000000002)"
0.18683600425720207,97.33877611160278,"(-1.760081088167413, -3.5354705407328835)","(1.9531079507889568, -4.746336244956938)","[0.0025971815743801585, 0.001530255293838323, 0.001530255293838323, 0.0039090358780740075, 0.001161986658537289]","(1.8730000000000002, -4.752000000000001)",0.080307919290651,"[0.15819709858567776, -0.03133410467408382, -0.03133410467408382, 0.18967300321646974, 0.06103377003052178]",False,True,"(-3.6769999999999996, -3.1020000000000003)"
0.12114191055297853,70.26658320426941,"(-1.4053534252580375, -0.8716143969216705)","(3.144316182476506, -5.227627629142272)","[0.008579529178829759, 0.0058049994801514515, 0.005804999480147899, 0.006566438245279471, 0.0009882295995253553]","(3.0730000000000004, -5.3020000000000005)",0.10304002829008624,"[0.1598798219149924, -0.025083021449745946, -0.025083021449745946, 0.17519129140062217, 0.06284675407967004]",False,True,"(-0.4269999999999996, -1.952)"
0.18547511100769049,25.718806982040405,"(4.027565547967196, 0.6909240349618997)","(1.4405573616915612, -3.154452108826462)","[0.0032185681575702674, 0.0008077010806220031, 0.0008077010806220031, 0.0046194893066306975, 0.0016872276983482255]","(1.423000000000001, -3.202)",0.05068592412710722,"[0.18195293847442073, 0.01658601168981888, 0.01658601168981888, 0.18315621826976258, 0.06178161773271673]",False,True,"(3.123, -0.5519999999999996)"
0.18639898300170896,29.644005060195926,"(-0.31551056603955374, 2.909124283134574)","(-2.790269415902759, 0.1609072032500095)","[0.0023087384483506668, 0.00021529826628036153, 0.00021529826628036153, 0.004919522382616524, 0.0019484350910720877]","(-2.8269999999999995, 0.09799999999999986)",0.07284539813099038,"[0.19602284397968506, 0.01984842343994364, 0.01984842343994364, 0.17745841838452492, 0.05631421756133038]",False,True,"(0.6730000000000009, 1.9979999999999993)"
0.136322021484375,13.467661142349243,"(2.107580570043196, -3.7321706131485097)","(2.519671447751758, -4.901722151080457)","[0.037436323560136486, 0.03496411983655534, 0.03496411983655534, 0.034967349472296405, 0.0008668812919455088]","(2.5230000000000006, -4.852)",0.04983343825321543,"[0.18109806636616455, 0.046431590962093594, 0.04643159096209004, 0.1971442509096768, 0.05822491440351379]",False,True,"(3.623, -4.952)"
0.1978302001953125,26.3052818775177,"(-0.9347933413817016, 0.4616628366310378)","(2.323257531365385, 0.3344899369134043)","[0.0023848925361891204, 0.002032783201149524, 0.002032783201149413, 0.009500633607588987, 0.0013266907434685766]","(2.3230000000000004, 0.29800000000000004)",0.036490845678723016,"[0.16975812759061348, 0.002530405965012604, 0.002530405965012618, 0.16838958495390782, 0.06263623326834504]",False,True,"(-1.9769999999999994, -0.0019999999999997797)"
0.13479399681091309,62.49787998199463,"(-2.5850506224428567, 1.5795569424265528)","(-3.8851354441012234, -3.8475120313279945)","[0.002898766418370613, -0.0010003292984670509, -0.0010003292984670509, 0.0024738108302848616, 0.0010777911161264945]","(-3.877, -3.8520000000000003)",0.009291249298401126,"[0.17679369588852278, 0.002568539652256785, 0.002568539652256785, 0.1661272735299995, 0.06424842961370919]",False,True,"(-1.6269999999999998, 0.29800000000000004)"
0.13784503936767578,54.96007990837097,"(-2.045752087363167, -3.5905663061229007)","(1.101059899103699, 1.829985117475374)","[0.005499479144080999, 0.0006180989505664147, 0.0006180989505664147, 0.0021680793792695496, 0.0009743804347683907]","(1.0730000000000004, 1.8479999999999999)",0.03334507355046345,"[0.1889658491420585, 0.019704217197922702, 0.019704217197922702, 0.20579946447308473, 0.05498204759970861]",False,True,"(-2.3269999999999995, -5.502000000000001)"
