calculation_time_oracle,execute_time_oracle,fake_location,final_location_oracle,goal_location,how_far_from_goal_oracle,move_base_status_aborted_oracle,move_base_status_finish_oracle,real_location
0.2168629169464112,26.41127705574036,"(-5.873163858459314, -2.647748350924209)","(-6.7594664176498735, -3.69996696571774)","(2.8500000000000014, -1.5)",9.858077879697948,True,False,"(-6.75, -3.6999999999999993)"
0.22394800186157227,107.78431916236877,"(6.112797370351878, -1.6829891954853413)","(-0.6954102129234785, -0.9919915632972031)","(-0.7999999999999989, -0.9499999999999993)",0.11270454715252155,False,True,"(6.25, -2.8499999999999996)"
0.2890970706939697,119.72560596466064,"(-5.4128211777602155, -3.3668134982238467)","(0.7574246671645947, -0.37357603461395084)","(-5.8999999999999995, 2.75)",7.353776610897713,True,False,"(-5.05, -4.3999999999999995)"
0.26103806495666504,128.51833581924436,"(-5.936742052956996, -5.392983034896323)","(5.646886640412156, 1.828029290604269)","(5.75, 1.75)",0.12930945486582784,False,True,"(-6.949999999999999, -5.45)"
0.2757518291473389,15.984971046447756,"(6.27159445185171, 1.1201835687605872)","(6.947153608708792, -0.6800612879273925)","(6.900000000000002, -0.6999999999999993)",0.051195849962433225,False,True,"(5.800000000000001, -0.3999999999999986)"
0.19689083099365234,94.23423409461977,"(4.1342168893264715, -3.7055877772893773)","(-6.5534324531546515, -5.209230754922352)","(-6.55, -5.1499999999999995)",0.05933012778791789,False,True,"(3.5, -4.75)"
0.28334903717041016,143.67649698257446,"(5.132619989854963, -5.534920487079289)","(1.2639013106459949, -5.168363230907553)","(1.200000000000001, -5.199999999999999)",0.07130401574164369,False,True,"(6.0, -5.0)"
0.3027918338775635,138.61035513877871,"(6.151304356650579, 1.0699313174772012)","(-6.112713897797459, -5.9185017104171065)","(-6.25, -5.85)",0.1534273710523508,False,True,"(5.850000000000001, 2.3000000000000007)"
20.0746591091156,46.91230392456055,"(1.1345837438118198, -5.526335507913399)","(0.3945541346446475, -4.504214392512248)","(7.300000000000001, -4.0)",6.923829486127588,True,False,"(0.40000000000000036, -4.5)"
0.2339980602264405,21.891540050506592,"(1.9767006487432188, -2.2631805166502317)","(3.2341291290095, -2.5072462770071544)","(3.3000000000000007, -2.5)",0.06626824409558195,False,True,"(0.6000000000000014, -2.0)"
0.1996328830718994,66.36879611015321,"(1.0374690610945538, -2.0356689807797457)","(-6.145042300253472, -4.212271327909769)","(-6.199999999999999, -4.1)",0.12500079932565392,False,True,"(0.8000000000000007, -3.4499999999999993)"
20.03492212295532,40.408083915710456,"(0.39172008383937595, -5.787120293278827)","(-0.6054197144806552, -5.004162250443401)","(4.850000000000001, -3.25)",5.730505166390207,True,False,"(-0.5999999999999996, -5.0)"
0.2781960964202881,211.92378997802726,"(0.9747721745998577, -2.5608246785219015)","(-7.155776581950468, 1.5111526192392093)","(-7.1, 1.200000000000001)",0.3161122894692596,True,False,"(-0.4499999999999993, -2.8999999999999995)"
20.067617893218998,6.557228088378906,"(-4.830656111496174, -5.721646437049566)","(-5.4004368996692955, -3.75087725345337)","(-6.6, -1.5)",2.5505685722577223,True,False,"(-5.3999999999999995, -3.8499999999999996)"
0.2326319217681885,103.76551604270935,"(0.4167729997050884, -2.3768235179422925)","(6.901525457279279, 3.990411323943581)","(7.0, 3.8500000000000014)",0.17150094884764902,False,True,"(-1.4499999999999993, -2.4499999999999993)"
0.2130749225616455,58.64254093170166,"(-0.36699275055652536, -4.003408172384258)","(-7.205951239043309, -5.35202990298794)","(-7.25, -5.3)",0.0681718721083276,False,True,"(-1.9000000000000004, -4.8)"
