execute_time_oracle,fake_location,final_location_oracle,finish_covarianceoracle,goal_location,how_far_from_goal_oracle,init_covariance,real_location,started_plan,dead_lenght
1206.4099929332733,"(-3.3000231106820146, 0.42533130760901255)","(1.9251646245600484, -1.1476649446436422)","[0.006508994485602049, -0.002667798841343938, -0.002667798841343938, 0.002764401258832816, 0.006826297143414927]","(1.673000000000001, -0.8520000000000003)",0.38859330587471214,"[0.16680096913123554, 0.0008299624759919577, 0.0008299624759919855, 0.17217213799474748, 0.06266609876117626]","(-2.0269999999999997, 0.09799999999999986)","[(-2.07699995828, 0.0480000916421, 0.0), (-2.03639651071, 0.0676995700851, 0.0), (-2.01651335459, 0.0828538366683, 0.0), (-1.99775915815, 0.099385208985, 0.0), (-1.97890387222, 0.115800995973, 0.0), (-1.95954046861, 0.131614442253, 0.0), (-1.94074698078, 0.148100801142, 0.0), (-1.92147055227, 0.164019914538, 0.0), (-1.90227690269, 0.180038591534, 0.0), (-1.88314428827, 0.19613051072, 0.0), (-1.86395674221, 0.212156817111, 0.0), (-1.84482698881, 0.228251788054, 0.0), (-1.82556620056, 0.244189974937, 0.0), (-1.80641870882, 0.260263965044, 0.0), (-1.78731241581, 0.276386783278, 0.0), (-1.76815767615, 0.292451999582, 0.0), (-1.74904699624, 0.308569858709, 0.0), (-1.72995481761, 0.32470984308, 0.0), (-1.71084623578, 0.340829991025, 0.0), (-1.69173917983, 0.356951664849, 0.0), (-1.67258100694, 0.373013066456, 0.0), (-1.65342359698, 0.389075231002, 0.0), (-1.63123846177, 0.400600194553, 0.0), (-1.61214971636, 0.416743993621, 0.0), (-1.59284963673, 0.432633733848, 0.0), (-1.57144842181, 0.445557165437, 0.0), (-1.55194082265, 0.461192083883, 0.0), (-1.5315821645, 0.475700903679, 0.0), (-1.50831594407, 0.484850073738, 0.0), (-1.4876513472, 0.498919440402, 0.0), (-1.46581907148, 0.511099768953, 0.0), (-1.44364995799, 0.522655250082, 0.0), (-1.4208659153, 0.53294501464, 0.0), (-1.39785222782, 0.542711402725, 0.0), (-1.37446622588, 0.551547767603, 0.0), (-1.35098333064, 0.560124733062, 0.0), (-1.32738599447, 0.568380501008, 0.0), (-1.30372113816, 0.576442482329, 0.0), (-1.27985677318, 0.58389182326, 0.0), (-1.2558009104, 0.590695717405, 0.0), (-1.23160237793, 0.596976235076, 0.0), (-1.20712384668, 0.602054360152, 0.0), (-1.18256062915, 0.606707527946, 0.0), (-1.15790013684, 0.610814431083, 0.0), (-1.13318623877, 0.614585640856, 0.0), (-1.10841397583, 0.617953255653, 0.0), (-1.08360547326, 0.621042397544, 0.0), (-1.05873707994, 0.623600533569, 0.0), (-1.03385914989, 0.626071694494, 0.0), (-1.00896786839, 0.62840018574, 0.0), (-0.984076205419, 0.630725625228, 0.0), (-0.959246340547, 0.633636239285, 0.0), (-0.934378328702, 0.636201241764, 0.0), (-0.909514894493, 0.638812020612, 0.0), (-0.884609498614, 0.640981820449, 0.0), (-0.859667481641, 0.642687753092, 0.0), (-0.834701050605, 0.643976357847, 0.0), (-0.809712494324, 0.644743874948, 0.0), (-0.784712875422, 0.644872811718, 0.0), (-0.759723174732, 0.644159463319, 0.0), (-0.735393798149, 0.649910501002, 0.0), (-0.711094939144, 0.655789712515, 0.0), (-0.686759840515, 0.661517862015, 0.0), (-0.662442670963, 0.667321542521, 0.0), (-0.638085447089, 0.672953561648, 0.0), (-0.61367939509, 0.678369668906, 0.0), (-0.589258084301, 0.683717874553, 0.0), (-0.564822277662, 0.689000467405, 0.0), (-0.540371212235, 0.694209818068, 0.0), (-0.515905650957, 0.69935050418, 0.0), (-0.491417201495, 0.704382852888, 0.0), (-0.466897852986, 0.709261850763, 0.0), (-0.44234379073, 0.713962320804, 0.0), (-0.417747003864, 0.718434671945, 0.0), (-0.393108636798, 0.722672037731, 0.0), (-0.368422967485, 0.726622538278, 0.0), (-0.343692666213, 0.730285410647, 0.0), (-0.318920403271, 0.733652262504, 0.0), (-0.294101219551, 0.736652903418, 0.0), (-0.269224815372, 0.739134745496, 0.0), (-0.244311027159, 0.741212992597, 0.0), (-0.219367102837, 0.742885355903, 0.0), (-0.194394568285, 0.744059519739, 0.0), (-0.169399908489, 0.744569926241, 0.0), (-0.144399908116, 0.74452872751, 0.0), (-0.119406774199, 0.743954234093, 0.0), (-0.094440343163, 0.742654948185, 0.0), (-0.0695318955262, 0.740515665926, 0.0), (-0.0447176709133, 0.737473826281, 0.0), (-0.0202013741613, 0.732581095496, 0.0), (0.00413029124037, 0.726838450146, 0.0), (0.0284993406758, 0.721257547964, 0.0), (0.0526067018748, 0.714636759291, 0.0), (0.0763474706612, 0.706802896869, 0.0), (0.0996239907835, 0.697681192632, 0.0), (0.122504926793, 0.687608102882, 0.0), (0.144389463863, 0.675522378825, 0.0), (0.166124464797, 0.663169625955, 0.0), (0.187685515533, 0.650515511997, 0.0), (0.209132888289, 0.637669900234, 0.0), (0.231363418406, 0.626232674721, 0.0), (0.253469970859, 0.614558175036, 0.0), (0.27495320177, 0.60177207255, 0.0), (0.296346405824, 0.588837196869, 0.0), (0.31748021046, 0.575481178604, 0.0), (0.337867097361, 0.56101203166, 0.0), (0.358377198985, 0.546716834913, 0.0), (0.378196077454, 0.531478644989, 0.0), (0.398026781485, 0.516255713854, 0.0), (0.417784624797, 0.500938178225, 0.0), (0.437005358726, 0.484951544686, 0.0), (0.4561902345, 0.468922186537, 0.0), (0.474978763222, 0.452430487073, 0.0), (0.493742496412, 0.435909795909, 0.0), (0.512461216173, 0.41933875074, 0.0), (0.530256016243, 0.401778173086, 0.0), (0.548024494902, 0.384192418429, 0.0), (0.565744908374, 0.366557072707, 0.0), (0.582637151057, 0.348127507003, 0.0), (0.599000295222, 0.329227207649, 0.0), (0.61504491216, 0.310054538906, 0.0), (0.631878789974, 0.29157156744, 0.0), (0.647863516165, 0.272349689101, 0.0), (0.663443121499, 0.252797457975, 0.0), (0.681006369442, 0.235006472603, 0.0), (0.698044715033, 0.216711565714, 0.0), (0.714977774977, 0.198319384043, 0.0), (0.733227286968, 0.181232591796, 0.0), (0.751312385504, 0.163972230821, 0.0), (0.769600425938, 0.146926637306, 0.0), (0.789126717122, 0.131314988514, 0.0), (0.808612953985, 0.115653367186, 0.0), (0.829967248126, 0.102653641651, 0.0), (0.851031243802, 0.089188523042, 0.0), (0.87347310815, 0.0781720586445, 0.0), (0.895473993487, 0.0662995761678, 0.0), (0.917248285804, 0.0540162507894, 0.0), (0.939409769899, 0.0424455108709, 0.0), (0.961176814291, 0.0301495969914, 0.0), (0.982582225376, 0.0172345577364, 0.0), (1.0035321616, 0.00359243717182, 0.0), (1.02433446904, -0.0102736061256, 0.0), (1.04496816686, -0.0243891306279, 0.0), (1.06537527165, -0.0388304302816, 0.0), (1.08550237767, -0.0536593031832, 0.0), (1.10554937504, -0.0685961320191, 0.0), (1.12534536532, -0.0838644580523, 0.0), (1.14495481691, -0.0993715841379, 0.0), (1.1643865036, -0.115101107077, 0.0), (1.18345464963, -0.131269320209, 0.0), (1.20233091639, -0.147660693134, 0.0), (1.22096685722, -0.164325198387, 0.0), (1.23932356221, -0.181296786775, 0.0), (1.25735639939, -0.198611697921, 0.0), (1.27512983716, -0.216193256411, 0.0), (1.29259161415, -0.234084186853, 0.0), (1.30970129458, -0.252311955069, 0.0), (1.32648939603, -0.270836506737, 0.0), (1.34288115042, -0.289712773498, 0.0), (1.35886740249, -0.308933507427, 0.0), (1.37444967811, -0.328483449735, 0.0), (1.38959021179, -0.348377096271, 0.0), (1.4043244802, -0.368574011245, 0.0), (1.4186265434, -0.389078772293, 0.0), (1.43247503909, -0.409892905293, 0.0), (1.44590239219, -0.430980933562, 0.0), (1.45887388897, -0.452352393841, 0.0), (1.4714337799, -0.473968376219, 0.0), (1.48354124773, -0.495840706257, 0.0), (1.49522566563, -0.517942299604, 0.0), (1.50647558951, -0.540267815683, 0.0), (1.51728644172, -0.562809625101, 0.0), (1.52764792259, -0.585561242872, 0.0), (1.53756689856, -0.608509317555, 0.0), (1.54705939138, -0.631637064481, 0.0), (1.55611548282, -0.654939143076, 0.0), (1.56476721635, -0.678394572502, 0.0), (1.57300009611, -0.701999919534, 0.0), (1.62300009686, -0.751999920279, 0.0), (1.673, -0.70199999404, 0.0), (1.673, -0.852, 0.0)]",
1083.3118360042572,"(2.2905299114530706, -4.822832697680411)","(0.5441832078972043, -4.852964410849484)","[0.16622668876269303, 0.1459493601626316, 0.14594936016263116, 0.14871926068398977, 0.18902057794215013]","(-1.6269999999999998, -1.0019999999999998)",4.420855507238856,"[0.18753166739306992, 0.04844827085466541, 0.04844827085466541, 0.1775062628180315, 0.06991916129626695]","(0.8230000000000004, -4.602)","[(0.773000084192, -4.65199997839, 0.0), (0.741543708601, -4.62030537495, 0.0), (0.725705848257, -4.60096228461, 0.0), (0.708992514878, -4.58237002206, 0.0), (0.691944251075, -4.56408474729, 0.0), (0.675173697236, -4.54554426926, 0.0), (0.658181128013, -4.52720701923, 0.0), (0.641024526805, -4.5090232154, 0.0), (0.624064382509, -4.49065602, 0.0), (0.606973775565, -4.4724103227, 0.0), (0.58978474943, -4.45425713182, 0.0), (0.572736485626, -4.43597157094, 0.0), (0.555600483784, -4.41776840752, 0.0), (0.538618214244, -4.39942143001, 0.0), (0.521534092285, -4.38116981994, 0.0), (0.504385120472, -4.36297867282, 0.0), (0.487354022806, -4.34467747168, 0.0), (0.470248538543, -4.32644531656, 0.0), (0.453094607623, -4.30825893781, 0.0), (0.436033373848, -4.28998596543, 0.0), (0.418915301083, -4.27176563587, 0.0), (0.401757936936, -4.25358249962, 0.0), (0.382538347416, -4.23759472167, 0.0), (0.364162950414, -4.22064354191, 0.0), (0.346840028403, -4.20261814339, 0.0), (0.331688813577, -4.18273231698, 0.0), (0.316974763065, -4.16252109689, 0.0), (0.305099228831, -4.14052192817, 0.0), (0.292696884896, -4.11881496526, 0.0), (0.280307892402, -4.09710075443, 0.0), (0.267426041013, -4.07567512545, 0.0), (0.253904083414, -4.05464756013, 0.0), (0.240240219075, -4.03371192902, 0.0), (0.226176574456, -4.01304275452, 0.0), (0.212126281278, -3.99236461548, 0.0), (0.197935225769, -3.97178279754, 0.0), (0.183427550382, -3.95142280426, 0.0), (0.16884129223, -3.93111888702, 0.0), (0.154427458397, -3.91069251801, 0.0), (0.140468336485, -3.8899527716, 0.0), (0.126634336645, -3.86912910186, 0.0), (0.113045621843, -3.84814464262, 0.0), (0.0992886788888, -3.82727023741, 0.0), (0.085393262422, -3.80648738492, 0.0), (0.071518063851, -3.78569137173, 0.0), (0.0575555087113, -3.76495372342, 0.0), (0.0436356781816, -3.74418746487, 0.0), (0.0296181914004, -3.72348700985, 0.0), (0.0155385250529, -3.70282889797, 0.0), (0.00148975775376, -3.68214942378, 0.0), (-0.0126173744145, -3.66150981318, 0.0), (-0.0267042886869, -3.64085666041, 0.0), (-0.0408354534482, -3.62023364374, 0.0), (-0.0549330488731, -3.5995877389, 0.0), (-0.0690825241816, -3.57897712, 0.0), (-0.083267857645, -3.55839148737, 0.0), (-0.097428014106, -3.53778811639, 0.0), (-0.111622502843, -3.51720858728, 0.0), (-0.125797918093, -3.49661589746, 0.0), (-0.140001943573, -3.47604304406, 0.0), (-0.154227712828, -3.45548525872, 0.0), (-0.169245031778, -3.4354981521, 0.0), (-0.184183386492, -3.4154521084, 0.0), (-0.199442557252, -3.39564887019, 0.0), (-0.215112952383, -3.37616988126, 0.0), (-0.230987052351, -3.35685625945, 0.0), (-0.246369437834, -3.33714877014, 0.0), (-0.262416725061, -3.31797896242, 0.0), (-0.278764991906, -3.29906512089, 0.0), (-0.295304375087, -3.28031836311, 0.0), (-0.312020760224, -3.26172896158, 0.0), (-0.328819161353, -3.24321375592, 0.0), (-0.345730858993, -3.22480173783, 0.0), (-0.362750131097, -3.20648928333, 0.0), (-0.379961663946, -3.18835745475, 0.0), (-0.397286874775, -3.17033434505, 0.0), (-0.414691812779, -3.15238829223, 0.0), (-0.432160074758, -3.13450327457, 0.0), (-0.449769862008, -3.11675806556, 0.0), (-0.467089732261, -3.09872980602, 0.0), (-0.484595759743, -3.08088217239, 0.0), (-0.502270015378, -3.06320124103, 0.0), (-0.519710048597, -3.04528913902, 0.0), (-0.537333187287, -3.02755689999, 0.0), (-0.555099758597, -3.00996847504, 0.0), (-0.572600064033, -2.99211511937, 0.0), (-0.590279660244, -2.97443952859, 0.0), (-0.608068738268, -2.95687399183, 0.0), (-0.625485883303, -2.93893976457, 0.0), (-0.643120847555, -2.92121916037, 0.0), (-0.6608504163, -2.90359392359, 0.0), (-0.678128324883, -2.88552503752, 0.0), (-0.695630919138, -2.8676741614, 0.0), (-0.712505995683, -2.84922895544, 0.0), (-0.729425322718, -2.83082418526, 0.0), (-0.746524321996, -2.81258611737, 0.0), (-0.762969100683, -2.79375600844, 0.0), (-0.779379928565, -2.77489652635, 0.0), (-0.795923507913, -2.75615301106, 0.0), (-0.811910522922, -2.7369326586, 0.0), (-0.827794541103, -2.71762761986, 0.0), (-0.843151749583, -2.69790029412, 0.0), (-0.85854329034, -2.67820005274, 0.0), (-0.87383068986, -2.65841893978, 0.0), (-0.888781251606, -2.63838224209, 0.0), (-0.903757753294, -2.61836423642, 0.0), (-0.918068971769, -2.59786596036, 0.0), (-0.93237217938, -2.57736158078, 0.0), (-0.946739092436, -2.55690221463, 0.0), (-0.960631838614, -2.53611783627, 0.0), (-0.974444857619, -2.51528043361, 0.0), (-0.987908068879, -2.49421529353, 0.0), (-1.00152501244, -2.47324895411, 0.0), (-1.0151659886, -2.45229863641, 0.0), (-1.02837475955, -2.43107289757, 0.0), (-1.0418002053, -2.40998372489, 0.0), (-1.05507382611, -2.38879842184, 0.0), (-1.06847295045, -2.3676924645, 0.0), (-1.08180722494, -2.34654568989, 0.0), (-1.09540356914, -2.32556599902, 0.0), (-1.10925359071, -2.30475301043, 0.0), (-1.12325925193, -2.28404454455, 0.0), (-1.13752316815, -2.26351308062, 0.0), (-1.15200299625, -2.24313344164, 0.0), (-1.16690854457, -2.22306279315, 0.0), (-1.1822058623, -2.20328930958, 0.0), (-1.19781407787, -2.18376034811, 0.0), (-1.21379613377, -2.16453618095, 0.0), (-1.23045606138, -2.14589604395, 0.0), (-1.24735974816, -2.12747677793, 0.0), (-1.2645285564, -2.1093047043, 0.0), (-1.282215782, -2.09163655218, 0.0), (-1.30007123576, -2.07413815409, 0.0), (-1.31805028571, -2.05676754836, 0.0), (-1.33604802768, -2.03941563465, 0.0), (-1.35419187255, -2.02221669031, 0.0), (-1.37237653469, -2.00506123351, 0.0), (-1.39023236992, -1.98756359836, 0.0), (-1.40821294575, -1.97019413704, 0.0), (-1.42618169602, -1.95281246869, 0.0), (-1.44362249217, -1.93490055741, 0.0), (-1.46108350623, -1.9170092455, 0.0), (-1.47786550416, -1.89847897179, 0.0), (-1.49464826503, -1.87994984248, 0.0), (-1.51131048146, -1.86131161283, 0.0), (-1.52732000319, -1.84211033386, 0.0), (-1.5432162284, -1.82281483187, 0.0), (-1.55888128295, -1.80333126529, 0.0), (-1.57388944663, -1.78333767368, 0.0), (-1.58863287031, -1.76314762517, 0.0), (-1.60278539738, -1.74253948582, 0.0), (-1.61656522852, -1.72167995792, 0.0), (-1.62973280073, -1.70042866061, 0.0), (-1.64250250002, -1.67893589295, 0.0), (-1.65480756917, -1.65717380767, 0.0), (-1.66651258644, -1.63508327694, 0.0), (-1.67766027642, -1.61270626245, 0.0), (-1.68804922311, -1.58996723318, 0.0), (-1.6978911422, -1.56698597063, 0.0), (-1.70685281989, -1.54364765241, 0.0), (-1.71529436359, -1.52011592904, 0.0), (-1.72292433044, -1.49630840305, 0.0), (-1.73017187388, -1.47238223997, 0.0), (-1.73699865621, -1.4483324807, 0.0), (-1.74337587646, -1.42415950671, 0.0), (-1.74909525216, -1.39982250073, 0.0), (-1.75431032487, -1.37537219824, 0.0), (-1.75902910546, -1.35082195069, 0.0), (-1.7631541284, -1.32616451013, 0.0), (-1.76662226048, -1.3014059801, 0.0), (-1.7694298777, -1.27656428967, 0.0), (-1.77165918682, -1.2516638529, 0.0), (-1.77311449385, -1.22670619566, 0.0), (-1.77658243518, -1.2019480471, 0.0), (-1.77791090353, -1.17698314194, 0.0), (-1.77699995381, -1.15199992624, 0.0), (-1.72699995306, -1.10199992549, 0.0), (-1.67699995232, -1.05199992475, 0.0), (-1.627, -1.002, 0.0)]",179.0
832.6079668998718,"(1.9542212888950012, -4.550586058637675)","(1.1444517107701375, -4.253193874006947)","[0.006452585321089943, 0.005951082078543557, 0.005951082078543557, 0.007440913947210248, 0.0012987779314302757]","(3.5230000000000006, -3.2520000000000002)",2.5806745508776086,"[0.18100679806193076, 0.04103603328514094, 0.04103603328514094, 0.17339794284065846, 0.06215984254749094]","(1.0730000000000004, -3.802)","[(1.02300008792, -3.85199996647, 0.0), (1.0670319947, -3.87630492899, 0.0), (1.08882421609, -3.88855678312, 0.0), (1.10859884408, -3.9038521935, 0.0), (1.1286740702, -3.91875144757, 0.0), (1.14849447455, -3.93398792088, 0.0), (1.16807188268, -3.94953586423, 0.0), (1.18780226017, -3.96488830434, 0.0), (1.20741133029, -3.98039619336, 0.0), (1.2271150049, -3.99578315648, 0.0), (1.24670881623, -4.01131011899, 0.0), (1.26623663329, -4.02691986044, 0.0), (1.28583654813, -4.04243881208, 0.0), (1.30536093197, -4.05805313116, 0.0), (1.32489065638, -4.07366039305, 0.0), (1.34439520379, -4.08929931693, 0.0), (1.36387342979, -4.10497085647, 0.0), (1.38331770498, -4.12068435768, 0.0), (1.40279326069, -4.13635933045, 0.0), (1.42227835314, -4.15202247766, 0.0), (1.43779120128, -4.17162754234, 0.0), (1.45511183447, -4.18965503895, 0.0), (1.47782187204, -4.20010750035, 0.0), (1.5001779057, -4.21129734274, 0.0), (1.52229819106, -4.22294571175, 0.0), (1.54614081226, -4.23046505237, 0.0), (1.56999106286, -4.23795883453, 0.0), (1.59395651732, -4.24507705973, 0.0), (1.61798682164, -4.2519713622, 0.0), (1.64207892405, -4.25864670105, 0.0), (1.66615042709, -4.26539795237, 0.0), (1.69026160299, -4.27200577107, 0.0), (1.7143422613, -4.27872078277, 0.0), (1.73843360077, -4.28540088998, 0.0), (1.76247992682, -4.29224007008, 0.0), (1.78653006756, -4.29906437285, 0.0), (1.81058707475, -4.30586616891, 0.0), (1.83474555289, -4.3122977486, 0.0), (1.85896582913, -4.31849453367, 0.0), (1.88327994693, -4.32430927679, 0.0), (1.90765509988, -4.32986481124, 0.0), (1.9321263832, -4.33497993888, 0.0), (1.95665030935, -4.33983433196, 0.0), (1.98133521572, -4.34378979161, 0.0), (2.00602164798, -4.3477372404, 0.0), (2.02908683387, -4.35738079523, 0.0), (2.0529958308, -4.36468517766, 0.0), (2.07769065539, -4.36078960876, 0.0), (2.10248237329, -4.35757038569, 0.0), (2.12736182923, -4.35511333914, 0.0), (2.14675117278, -4.33933269926, 0.0), (2.16774726684, -4.32576210427, 0.0), (2.19070716708, -4.31586964044, 0.0), (2.20772148008, -4.2975526083, 0.0), (2.23168846042, -4.29044182176, 0.0), (2.25490318245, -4.28116371493, 0.0), (2.2779676054, -4.27151748981, 0.0), (2.3000104524, -4.2597235901, 0.0), (2.32360282947, -4.25145313557, 0.0), (2.34651313864, -4.24144623082, 0.0), (2.36864677545, -4.22982284808, 0.0), (2.38978477625, -4.21647407774, 0.0), (2.41045433222, -4.202411959, 0.0), (2.43130089015, -4.18861229143, 0.0), (2.45172172786, -4.174190256, 0.0), (2.47177940638, -4.15926716008, 0.0), (2.49202324213, -4.14459850446, 0.0), (2.511925281, -4.12946884268, 0.0), (2.53173958183, -4.1142237863, 0.0), (2.55167290122, -4.09913570471, 0.0), (2.571223225, -4.08355438276, 0.0), (2.5909131667, -4.0681496813, 0.0), (2.61029488086, -4.05235893247, 0.0), (2.63040672808, -4.03750926947, 0.0), (2.65007683335, -4.02207920027, 0.0), (2.66942726699, -4.00624954152, 0.0), (2.68947807906, -3.99131748106, 0.0), (2.709190146, -3.97594138983, 0.0), (2.7287389439, -3.96035758833, 0.0), (2.74832512583, -3.94482166128, 0.0), (2.76766411538, -3.92897788815, 0.0), (2.78692833686, -3.91304408817, 0.0), (2.80622765355, -3.89715282206, 0.0), (2.82544533572, -3.88116256456, 0.0), (2.84448220124, -3.86495830254, 0.0), (2.86356179137, -3.84880363159, 0.0), (2.88260781216, -3.83260909704, 0.0), (2.90148903803, -3.81622382763, 0.0), (2.92040535911, -3.79987823108, 0.0), (2.93930947316, -3.78351871087, 0.0), (2.95806328814, -3.76698657562, 0.0), (2.97716805527, -3.75086242224, 0.0), (2.99604546644, -3.73447143079, 0.0), (3.0147351945, -3.71786776995, 0.0), (3.03378197823, -3.70167418909, 0.0), (3.05256707373, -3.68517829345, 0.0), (3.07113778323, -3.66844188116, 0.0), (3.08990914582, -3.65192977306, 0.0), (3.1084523895, -3.63516246172, 0.0), (3.12696282679, -3.61835833854, 0.0), (3.14548013053, -3.6015626077, 0.0), (3.16380212177, -3.58455344454, 0.0), (3.18211648362, -3.56753607979, 0.0), (3.20040719434, -3.5504939195, 0.0), (3.21852700662, -3.53326960741, 0.0), (3.23664071539, -3.51603938255, 0.0), (3.25472390657, -3.49877616055, 0.0), (3.27265374693, -3.48135443788, 0.0), (3.29057214319, -3.46392108038, 0.0), (3.30845773306, -3.44645377207, 0.0), (3.32634713762, -3.428989897, 0.0), (3.34408166547, -3.41136961933, 0.0), (3.36178186105, -3.39371424645, 0.0), (3.3848424693, -3.3840602012, 0.0), (3.405212953, -3.3695677846, 0.0), (3.42300012368, -3.35199995902, 0.0), (3.47300012442, -3.30199995828, 0.0), (3.523, -3.252, 0.0)]",118.0
