calculation_time_without_oracle,execute_time_without_oracle,fake_location,final_location_without_oracle,finish_covariancewithout_oracle,goal_location,how_far_from_goal_without_oracle,init_covariance,metric-0,metric-1,metric-2,metric-3,move_base_status_aborted_without_oracle,move_base_status_finish_without_oracle,real_location
0.1154460906982422,63.810979127883904,"(2.1102968840662912, -0.13106775556429895)","(3.9249630779301143, 0.2855431212308504)","[0.0038720779793681714, -0.0023691729886681223, -0.0023691729886681223, 0.003094017079125558, 0.0011708814890016778]","(4.623, -4.602)",4.937138169675203,"[0.21363354202712337, 0.03795805864720639, 0.03795805864720633, 0.32658997143411056, 0.06587001039662654]",237.0,5235.382622222223,13.727726213651275,51.71333333333333,True,False,"(1.7230000000000008, 0.8979999999999997)"
0.18424201011657715,103.11140704154968,"(2.3373453757153713, -0.7614909670120606)","(4.081847471079116, 0.009685882599917301)","[0.002291091228332931, -0.0014525568435712621, -0.0014525568435712621, 0.002615734931324498, 0.0009307327211146053]","(2.873, -3.452)",3.6666853366666112,"[0.21584469199045664, 0.020854429857742884, 0.020854429857742884, 0.2091066411449619, 0.07318706585522611]",593.0,27961.169822222222,99.3474284008866,687.42,True,False,"(2.873, 0.34799999999999986)"
0.12062215805053712,48.09464287757874,"(-2.942555154234705, -5.296129709251616)","(-3.738246067366855, 2.7101252104553324)","[0.06849151883650073, -0.049227043743385046, -0.049227043743385046, 0.04395812645762209, 0.001518141156813638]","(-3.4769999999999994, 2.3979999999999997)",0.4070278303954575,"[0.21724489789768597, -0.027845023526651858, -0.027845023526651858, 0.22853510366904928, 0.06336474900950076]",277.0,1029.2818222222222,71.84710757449103,110.36,False,True,"(-3.5269999999999997, -4.152)"
0.19281005859375,50.79666185379028,"(0.6127145068584267, 1.3736835582610012)","(-0.18303422873707598, 1.1060524128685758)","[0.0013447968637458826, -0.00048354257552174484, -0.0004835425755217726, 0.0009703996683012583, 0.001390358219180031]","(3.673000000000001, -5.702)",7.824230162102697,"[0.28345462930950904, 0.04796681780161449, 0.0479668178016146, 0.3008026941817292, 0.07489773791686472]",412.0,5879.463333333332,55.79542869238525,260.56666666666666,True,False,"(0.3230000000000004, 0.24800000000000022)"
0.19733214378356934,42.916144847869866,"(0.4009797200096007, -4.876135406815293)","(-3.4367749664177087, -2.054098240658534)","[0.0026801796537458955, 0.00010077587352519402, 0.00010077587352519402, 0.0015543849665240472, 0.0009983371118582275]","(-3.4769999999999994, -2.1020000000000003)",0.06255103416174787,"[0.2707443524494776, -0.05310660990217264, -0.05310660990217264, 0.2714302410265219, 0.0694796066082725]",264.0,4679.461155555556,62.132074522433825,464.53333333333336,False,True,"(-0.3769999999999998, -4.152)"
0.1356668472290039,51.8574161529541,"(-3.495922196458278, 0.7603259659990054)","(0.282663022210391, 2.5332071203514723)","[0.0058425961556737155, -0.0054537328712526145, -0.0054537328712527255, 0.006688572527650649, 0.001136574497983495]","(0.3730000000000002, 2.3979999999999997)",0.16260914780509106,"[0.23265593188599176, 0.023395702265164964, 0.023395702265164964, 0.292347563835749, 0.06630950726676217]",190.0,510.1177333333334,40.98027274874856,293.18666666666667,True,False,"(-3.2769999999999997, -0.7519999999999998)"
20.011370182037357,9.114744901657103,"(2.2905299114530706, -4.822832697680411)","(0.6046549344656273, -4.7499661873351915)","[0.26618730872097274, -0.03496968541703005, -0.03496968541703005, 0.2490781274506908, 0.06774895071249225]","(-1.6269999999999998, -1.0019999999999998)",4.3620561995385465,"[0.26618730872097274, -0.03496968541703005, -0.03496968541703005, 0.2490781274506908, 0.06774895071249225]",0.0,55305.261155555534,3.9826214418900414,103.88666666666668,True,False,"(0.8230000000000004, -4.602)"
20.014685869216922,8.689254999160768,"(-1.4053534252580375, -0.8716143969216705)","(-0.4268428042411733, -1.9519345186201948)","[0.1586011791703359, -0.027207236752983643, -0.027207236752983643, 0.16334517163949924, 0.06717357945597577]","(3.0730000000000004, -5.3020000000000005)",4.844774337771701,"[0.1586011791703359, -0.027207236752983643, -0.027207236752983643, 0.16334517163949924, 0.06717357945597577]",585.0,13611.540266666667,112.78748080311102,709.8,True,False,"(-0.4269999999999996, -1.952)"
0.12531590461730954,71.47933721542357,"(4.5232334301425245, 1.4193082796182468)","(-0.8160481734926265, -1.8792532706370726)","[0.006824008333868425, -0.0032526185225918436, -0.0032526185225918436, 0.004726254822699616, 0.0007218380910206925]","(-0.7269999999999994, -2.002)",0.15164543109394593,"[0.19363709895004177, -0.03952861144516451, -0.03952861144516451, 0.19519933155522606, 0.06196730787893023]",425.0,28184.87573333333,76.663381115516,387.72666666666674,False,True,"(3.5230000000000006, 2.0980000000000008)"
0.1249558925628662,89.10286498069763,"(0.25258133055883736, -4.5263157043842925)","(-0.9915142709551759, 1.3513955723835338)","[0.0014674409460635474, -0.0015374237259047074, -0.0015374237259047074, 0.0031155765183306094, 0.0007093830062311462]","(-1.0269999999999997, 1.298)",0.06411180948942127,"[0.3302629955235351, -0.09357034102041961, -0.09357034102041961, 0.3635978902298689, 0.07707682676384235]",276.0,5172.369955555556,58.59684502878459,876.9,False,True,"(1.5730000000000004, -4.752000000000001)"
