calculation_time_oracle,execute_time_oracle,fake_location,final_location_oracle,goal_location,how_far_from_goal_oracle,move_base_status_aborted_oracle,move_base_status_finish_oracle,real_location
0.3895440101623535,225.89765095710754,"(-6.2565973630584155, -4.223018935115582)","(2.003691796952439, 14.641690571167034)","(2.3500000000000014, 14.450000000000003)",0.3958214832122865,False,True,"(-6.35, -5.499999999999998)"
0.2915232181549072,248.42076396942142,"(11.7749143603127, -19.6365756067212)","(-10.009664639639704, -1.835180050689597)","(-10.1, -1.7499999999999964)",0.12416166222674145,False,True,"(12.950000000000003, -18.349999999999998)"
0.4111831188201904,311.6911108493805,"(2.7548784747802113, 16.130302903750216)","(6.71912704952752, -9.78284001498701)","(6.400000000000002, -10.099999999999998)",0.4499250269029032,False,True,"(2.6000000000000014, 18.1)"
0.3841278553009033,243.0170769691468,"(18.757958289519767, -1.775952858599532)","(-7.797241944601037, 9.406660625097743)","(-7.549999999999999, 9.650000000000002)",0.34690435360186106,False,True,"(16.85, -2.299999999999997)"
20.00831890106201,33.171714067459106,"(14.858706031802214, -0.6875682239579421)","(15.893345181096704, 0.4917500085705391)","(-17.6, -4.749999999999998)",33.90103412246363,True,False,"(15.899999999999999, 0.5000000000000036)"
0.28137993812561035,233.51074504852286,"(11.145283202789653, 2.095367252197664)","(20.651020262958173, -13.110369770031925)","(20.300000000000004, -13.599999999999998)",0.602455796806546,True,False,"(12.350000000000001, 0.5500000000000043)"
0.38816094398498535,289.1994791030884,"(-1.8754026605491378, -7.562290174673644)","(32.384971157488785, -9.248315670927061)","(31.950000000000003, -9.899999999999999)",0.7835128413793708,False,True,"(-2.349999999999998, -9.049999999999997)"
0.3218519687652588,196.489196062088,"(-7.8570216942350255, 5.3734514452743305)","(8.781986830179141, -2.1223560095624334)","(8.700000000000003, -2.3999999999999986)",0.2894961584355096,False,True,"(-9.149999999999999, 4.7500000000000036)"
0.2036149501800537,154.88411498069763,"(5.324465706081305, -17.2925678267234)","(-8.827368747910562, -4.97454447330332)","(-8.899999999999999, -4.799999999999997)",0.1890530929152276,False,True,"(3.8500000000000014, -16.599999999999998)"
0.21528387069702148,93.60086798667908,"(1.3428716746827725, -12.902356793307003)","(-2.8445370437990265, -11.900048584970211)","(-3.099999999999998, -11.899999999999999)",0.2554629608210136,False,True,"(1.6500000000000021, -11.449999999999998)"
0.1915760040283203,126.28649282455444,"(-8.973666227186825, 22.662983723410903)","(5.5816179519452245, 22.58856376565454)","(6.100000000000001, 22.200000000000003)",0.6478439223494346,False,True,"(-10.549999999999999, 21.500000000000007)"
0.396618127822876,208.10564494132998,"(10.930162529917665, 4.685925684413358)","(30.14405439217637, -4.79496818619081)","(29.900000000000006, -5.599999999999998)",0.8412126767860102,False,True,"(9.350000000000001, 4.200000000000003)"
0.3173520565032959,230.90987706184387,"(-9.190571725359684, -10.02050270988008)","(10.666086259156975, -12.886623285839036)","(10.350000000000001, -13.149999999999999)",0.4114338546960796,False,True,"(-8.549999999999999, -11.049999999999997)"
0.4710249900817871,384.3189778327942,"(26.167756508097877, -18.40790796812683)","(-12.700200079175906, -19.69363597779441)","(-15.5, -9.799999999999997)",10.282164774878618,True,False,"(27.450000000000003, -18.75)"
0.2751319408416748,75.20847010612488,"(1.4093006876682543, 2.964146889271909)","(-2.601819719409823, 14.754541732414047)","(-2.3000000000000007, 14.650000000000006)",0.3194121426006736,False,True,"(0.40000000000000213, 3.700000000000003)"
0.3749930858612061,290.4025249481201,"(-16.7089580583602, 8.626969831197444)","(23.10861666788544, 12.057896470201042)","(23.25, 11.300000000000004)",0.7709710151121175,False,True,"(-16.45, 7.450000000000003)"
0.2695610523223877,200.93622398376462,"(25.262703082319373, 17.19289086057563)","(15.213366309563355, -6.523240640645119)","(14.950000000000003, -6.9499999999999975)",0.5014831640344529,False,True,"(26.85, 17.450000000000003)"
0.188370943069458,189.3960621356964,"(-16.175293036866467, 5.499665276008738)","(-12.569548753547, -16.998353797305587)","(-12.899999999999999, -16.799999999999997)",0.3854117994922928,False,True,"(-16.05, 4.100000000000001)"
0.3730947971343994,318.30152416229254,"(13.716485155111878, 13.506371202193193)","(-9.16167056929481, -7.679315060087267)","(-9.25, -7.599999999999998)",0.11871380326377427,False,True,"(14.950000000000003, 13.800000000000004)"
0.18568181991577148,147.9365751743317,"(-8.759426183330966, 20.588889206576013)","(-18.584843612894307, 6.274717936415303)","(-18.45, 6.550000000000004)",0.3065338716517984,False,True,"(-7.35, 21.500000000000007)"
0.35204100608825684,239.0383529663086,"(1.0168363203774777, 18.854264262435827)","(12.938229466281003, 2.790004781275398)","(12.899999999999999, 2.400000000000002)",0.3918739867735542,False,True,"(2.25, 17.6)"
0.20307016372680664,77.26975488662721,"(8.759602477246009, 11.588381319892159)","(2.3050316027807054, 13.14280077041566)","(2.650000000000002, 12.850000000000001)",0.4524770560327379,False,True,"(7.0, 11.400000000000006)"
0.1994481086730957,203.2940139770508,"(8.898349744933762, -7.555311713567188)","(17.384740041778183, 15.569617812440534)","(17.550000000000004, 15.150000000000006)",0.4509877629258381,False,True,"(9.850000000000001, -8.799999999999997)"
20.02070903778076,31.858542919158936,"(-9.867617077016131, 22.11495569486944)","(-10.806334375806882, 20.69121718026259)","(13.899999999999999, -15.299999999999997)",43.6551334026825,True,False,"(-10.799999999999999, 20.700000000000003)"
20.032617807388306,14.288483142852785,"(23.28668910583811, 9.716560029664679)","(21.649940665360962, 9.21638475727913)","(1.0, 12.0)",20.83671191197009,True,False,"(21.650000000000006, 9.250000000000004)"
