dead_reakoing_mean_dist,dead_reakoing_mean_step,dead_reakoing_percent,fake_location,goal_location,metric-0,metric-1,metric-2,metric-3,real_location
1.2542464394179809,6.7333333333333325,0.7533333333333333,"(2.0897801982701347, -3.430327175376992)","(1.1230000000000002, -2.902)",27.0,4102.49048888889,96.27353449614408,30.480204538208607,"(1.0230000000000006, -2.202)"
3.8260585480400833,42.626666666666665,0.04666666666666667,"(2.142545285614105, 0.8718053939071738)","(3.7730000000000006, -3.552)",229.0,750.2072888888887,325.6409510547328,3.0528147697808183,"(2.673000000000001, 1.7480000000000002)"
3.4025680685748143,91.00666666666666,0.3333333333333333,"(2.2905299114530706, -4.822832697680411)","(-1.6269999999999998, -1.0019999999999998)",0.0,8506.305822222219,1990.7215556928736,8.55275419282239,"(0.8230000000000004, -4.602)"
3.354150691546208,14.673333333333336,0.0,"(1.0883032326011919, 1.4661544076061128)","(4.473, 1.9480000000000004)",253.0,1483.460488888889,697.0806664920226,13.37284617910835,"(-0.7269999999999994, 1.5979999999999999)"
1.8938462881168625,,,"(-2.677399412353785, 0.7700849582142606)","(-4.327, -0.0019999999999997797)",86.0,2580.985822222222,524.9218646012085,3.5672726982035763,"(-2.4769999999999994, -0.8520000000000003)"
2.093140939121138,54.95333333333333,0.2333333333333333,"(1.5246954291000254, -3.9249367232215917)","(-0.827, -4.402)",198.0,936.5358222222225,930.7378368238122,43.014892288503475,"(1.9730000000000008, -4.852)"
2.662910911890441,23.82666666666667,0.0,"(-1.936549449231103, -2.417791084413723)","(-4.327, -0.10200000000000031)",149.0,534.8172888888888,564.4418225224659,4.5173037859869085,"(-3.1769999999999996, -3.202)"
2.5413690016343,21.133333333333333,0.013333333333333334,"(-1.5800518477066716, -2.1744582530186065)","(-3.977, -0.40200000000000014)",77.0,799.6424888888887,508.6092965311122,6.590837735590513,"(-2.1769999999999996, -0.8520000000000003)"
1.2756632895854565,55.36666666666667,0.4266666666666667,"(-3.756474906200752, -4.170739030256547)","(-3.2769999999999997, -3.802)",80.0,282.5269333333333,77.39001348595546,5.1005577755577765,"(-2.377, -3.652)"
1.9796820576815959,44.62,0.12,"(-1.731675057059007, -4.001725492527301)","(0.5730000000000004, -3.652)",134.0,1469.222622222222,593.084111042182,40.37025074659106,"(-1.7269999999999994, -5.902)"
3.9695556993990384,83.45333333333333,0.10666666666666667,"(-3.3000231106820146, 0.42533130760901255)","(1.673000000000001, -0.8520000000000003)",214.0,2490.5106222222225,865.8175611638974,16.896350394615762,"(-2.0269999999999997, 0.09799999999999986)"
