calculation_time_oracle,execute_time_oracle,fake_location,final_location_oracle,goal_location,how_far_from_goal_oracle,move_base_status_aborted_oracle,move_base_status_finish_oracle,real_location
0.23108601570129395,152.94669413566592,"(4.611558935251819, 2.0372650945212576)","(-0.7686051781677978, -1.4329577214225955)","(-0.7769999999999992, -1.4020000000000001)",0.03207574705713686,False,True,"(4.673000000000001, 0.3979999999999997)"
0.24358510971069336,140.13204288482666,"(-1.0796693607892422, -1.8775219137922168)","(0.8206161749553986, -5.915296589305621)","(0.7730000000000006, -5.952)",0.060120216849104416,False,True,"(-2.6769999999999996, -2.2520000000000002)"
0.1889488697052002,6.941360950469973,"(-4.595758722957059, 2.0265387283274863)","(-2.455618053344878, 1.74602539284685)","(-2.4269999999999996, 1.6980000000000004)",0.05590555728498337,False,True,"(-2.9269999999999996, 1.6479999999999997)"
0.20227909088134768,41.68935108184815,"(2.3373453757153713, -0.7614909670120606)","(2.9238224216083193, -3.458865648674048)","(2.873, -3.452)",0.051284068382385535,False,True,"(2.873, 0.34799999999999986)"
200.0770921707153,0.00023484230041503906,"(1.174755808323292, 2.9676174644533635)","(1.1735648478746392, 1.5481755212897104)","(-0.7269999999999994, -1.1020000000000003)",3.2612232420703644,True,False,"(1.173000000000001, 1.548)"
0.19379401206970207,127.87777495384216,"(-1.8989605489037442, -0.4972224700229704)","(2.58329022386338, 2.2682216985766837)","(2.623, 2.1980000000000004)",0.08067188650214548,False,True,"(-3.4269999999999996, -0.10200000000000031)"
0.1901450157165528,74.4784610271454,"(-4.748517824885054, -1.9125292842854986)","(2.825232828590154, -2.166235309432377)","(2.873, -2.152)",0.049843221195395734,False,True,"(-4.327, -0.10200000000000031)"
0.2602720260620117,27.01486015319824,"(-1.936549449231103, -2.417791084413723)","(-4.358022522222773, -0.07295134434538468)","(-4.327, -0.10200000000000031)",0.04249966212104348,False,True,"(-3.1769999999999996, -3.202)"
0.17864513397216794,47.591991901397705,"(2.1102968840662912, -0.13106775556429895)","(4.64668856099612, -4.515069731374541)","(4.623, -4.602)",0.09010005285992573,False,True,"(1.7230000000000008, 0.8979999999999997)"
20.071653127670288,14.833319902420044,"(-1.4541293405676328, -3.597039098985829)","(-1.6269109477593309, -2.3040483585896405)","(0.8730000000000002, -5.852)",4.340220685231734,True,False,"(-1.6269999999999998, -2.302)"
0.18883299827575686,33.78089809417725,"(-1.5548373471467785, -0.8780400668158768)","(-1.6288974768360802, -5.764176827518756)","(-1.5269999999999997, -5.752000000000001)",0.10262246788097172,False,True,"(-2.877, -1.952)"
0.20763802528381348,110.39276885986328,"(3.3506017840661175, 0.942183363716101)","(-1.4125410211082858, -4.877190993418279)","(-1.3769999999999998, -4.852)",0.04356317631692378,False,True,"(3.673000000000001, -0.2519999999999998)"
20.06640601158142,10.91317892074585,"(4.027565547967196, 0.6909240349618997)","(3.1876253646494415, -0.5008374503885041)","(1.423000000000001, -3.202)",3.2264813337423552,True,False,"(3.123, -0.5519999999999996)"
20.013885974884037,14.21513605117798,"(0.25258133055883736, -4.5263157043842925)","(1.5730948673757221, -4.754048527057392)","(-1.0269999999999997, 1.298)",6.586940465285162,True,False,"(1.5730000000000004, -4.752000000000001)"
0.18019509315490725,45.084317922592156,"(-2.942555154234705, -5.296129709251616)","(-3.499187411622207, 2.3738000385552005)","(-3.4769999999999994, 2.3979999999999997)",0.032831682387947175,False,True,"(-3.5269999999999997, -4.152)"
0.2007889747619629,22.17889904975891,"(0.13709541750060739, -3.9428345113460024)","(-2.941182577341663, -5.151408330048929)","(-2.877, -5.102)",0.0809974463328468,False,True,"(-0.577, -5.452)"
0.18399310111999512,112.43118786811829,"(-1.0753138958663988, -3.4117986954148454)","(1.9186111629752867, 1.39746902555509)","(1.923000000000001, 1.298)",0.09956580203718857,False,True,"(0.7730000000000006, -3.3520000000000003)"
0.1906278133392334,86.9089150428772,"(-2.045752087363167, -3.5905663061229007)","(1.065869629003993, 1.9694037621027558)","(1.0730000000000004, 1.8479999999999999)",0.12161297481454544,False,True,"(-2.3269999999999995, -5.502000000000001)"
0.19368696212768555,10.413189172744753,"(2.107580570043196, -3.7321706131485097)","(2.521649096657203, -4.863655342122771)","(2.5230000000000006, -4.852)",0.011733368648448964,False,True,"(3.623, -4.952)"
0.13108181953430176,5.211417198181152,"(-4.595758722957059, 2.0265387283274863)","(-2.46542968502991, 1.7128771666632217)","(-2.4269999999999996, 1.6980000000000004)",0.04120886772799492,False,True,"(-2.9269999999999996, 1.6479999999999997)"
0.20395684242248527,44.58911395072937,"(2.142545285614105, 0.8718053939071738)","(3.7598858092535328, -3.485464509997319)","(3.7730000000000006, -3.552)",0.06781558396734205,False,True,"(2.673000000000001, 1.7480000000000002)"
0.187241792678833,59.10650110244751,"(-1.0262712733946164, 1.6783355277946603)","(-2.6440134440358176, -5.183909148230217)","(-2.6769999999999996, -5.202)",0.037621693105632,False,True,"(-0.7769999999999992, -0.3019999999999996)"
0.12420105934143065,60.90119695663452,"(-1.5025784315302402, -4.5735324699072475)","(-1.7329505543401773, -0.4914638558867397)","(-1.7269999999999994, -0.45199999999999996)",0.03990996139317566,False,True,"(-1.9769999999999994, -3.052)"
0.20191001892089844,91.59232592582704,"(-2.3589034886473046, 2.432364112004513)","(-2.160456936441756, -0.30275277318962507)","(-2.1769999999999996, -0.3019999999999996)",0.016560181743178547,False,True,"(-3.4269999999999996, 2.3979999999999997)"
0.19024419784545896,14.490311861038208,"(-3.4415476095386337, -3.773556947798647)","(-2.892758222976421, -4.4880890287132855)","(-2.877, -4.452)",0.03937943098678498,False,True,"(-4.276999999999999, -2.802)"
0.18898797035217285,47.77712893486023,"(4.610239745294135, -5.085444728202473)","(4.297147792900813, 1.958217008226023)","(4.223, 1.9480000000000004)",0.07484839643674761,False,True,"(2.7730000000000006, -4.852)"
0.1956939697265625,94.30845808982849,"(4.580667672674808, -3.4831553117066587)","(-3.614002353248425, 0.8917698575209353)","(-3.627, 0.798)",0.09466638791342588,False,True,"(4.473, -5.202)"
20.0137779712677,14.392409086227415,"(-1.2840031567556383, -2.972167253748482)","(-0.7272313519459909, -4.4041262299678765)","(2.623, -5.002000000000001)",3.4031607597135767,True,False,"(-0.7269999999999994, -4.402)"
0.17679190635681152,20.25862216949463,"(2.1107049264577067, 1.3683974397660201)","(4.5164951557708175, 2.063405609678503)","(4.473, 2.0980000000000008)",0.05557517806758532,False,True,"(1.2730000000000006, 2.1479999999999997)"
0.20923614501953125,72.20537877082825,"(2.8382922472180363, 0.6219991822806084)","(-4.08495845804829, -1.6734750923445443)","(-4.127, -1.702)",0.05080513366215686,False,True,"(1.3230000000000004, 0.09799999999999986)"
20.020570993423465,11.1720929145813,"(0.35277492369418484, -0.4711993640419503)","(-0.04525273259048721, -1.7100735938345686)","(-1.2769999999999997, -0.15200000000000014)",1.986150712955935,True,False,"(-0.6769999999999996, -1.2519999999999998)"
0.17838382720947266,13.711946964263914,"(-3.756474906200752, -4.170739030256547)","(-3.277911778776993, -3.8215222077889037)","(-3.2769999999999997, -3.802)",0.01954348836547117,False,True,"(-2.377, -3.652)"
0.1853599548339844,129.9757778644562,"(-3.495922196458278, 0.7603259659990054)","(0.4128537563999686, 2.496025271078457)","(0.3730000000000002, 2.3979999999999997)",0.1058171804065533,False,True,"(-3.2769999999999997, -0.7519999999999998)"
