calculation_time_without_oracle,execute_time_without_oracle,fake_location,final_location_without_oracle,finish_covariancewithout_oracle,goal_location,how_far_from_goal_without_oracle,init_covariance,metric-0,metric-1,metric-2,metric-3,move_base_status_aborted_without_oracle,move_base_status_finish_without_oracle,real_location
0.15676593780517578,162.0920069217682,"(-1.0753138958663988, -3.4117986954148454)","(-3.4883695681415445, -2.6638467429479493)","[0.0016325148338811601, -0.000309856182164836, -0.000309856182164836, 0.0009579986997234613, 0.0020656455879689358]","(1.923000000000001, 1.298)",6.706649701424378,"[0.33808437273498826, -0.07722019540024716, -0.0772201954002476, 0.30050387546140733, 0.08518333444988561]",548.0,7992.872222222223,169.60553127663042,420.5933333333333,True,False,"(0.7730000000000006, -3.3520000000000003)"
0.1601250171661377,60.05580997467041,"(3.2814088409852222, -1.7418018186790318)","(-4.200786783026198, -5.303809635849743)","[0.0023713768071935704, -0.002528071060851289, -0.002528071060851289, 0.00812610544225123, 0.001512845918952594]","(-4.327, -5.3020000000000005)",0.12622618952018155,"[0.18930640167095447, 0.01900900290260754, 0.01900900290260843, 0.22991563780175062, 0.06463771617208657]",353.0,8205.285555555556,74.13527236955295,529.34,False,True,"(2.8230000000000004, -0.3019999999999996)"
0.15720415115356445,31.642963886260986,"(-4.104000016738677, -2.8074163635600016)","(-0.18020582909372845, -3.706336722379157)","[0.0025917430860075905, -0.00035166435163580534, -0.00035166435163580534, 0.0025011013915925417, 0.0009435105202418337]","(-0.1769999999999996, -3.702)",0.005393004837016007,"[0.21133753900678087, -0.02287464982782872, -0.02287464982782872, 0.22743909443812882, 0.0656391564383321]",252.0,2217.7571555555555,53.52618905686774,160.00666666666666,False,True,"(-3.4769999999999994, -3.8520000000000003)"
20.028393030166626,24.429523944854736,"(-1.5800518477066716, -2.1744582530186065)","(-2.1757978997025598, -0.8553813555148464)","[0.0013475859408513813, -0.00028417307513772805, -0.00028417307513772805, 0.0028771298051608607, 0.0012837675772654896]","(-3.977, -0.40200000000000014)",1.8573862440656728,"[0.22537512354932954, -0.00678871059078201, -0.00678871059078201, 0.2686106463898579, 0.0656215837162688]",448.0,23975.33528888889,75.97004851721161,629.6066666666667,True,False,"(-2.1769999999999996, -0.8520000000000003)"
0.14936113357543945,100.65142703056335,"(-3.48418615109453, -4.242127237182371)","(4.387939755121563, -0.7490835491899149)","[0.003199655098132581, -0.00023070886284370928, -0.00023070886284370928, 0.003845861641545101, 0.0007231322111209545]","(4.423000000000001, -0.8520000000000003)",0.10872449870328564,"[0.32806890084897233, 0.014629783576038946, 0.014629783576038946, 0.2726322657770659, 0.06971730697580072]",604.0,7120.7011555555555,193.84820191166813,421.18666666666667,False,True,"(-2.0269999999999997, -3.9520000000000004)"
20.020214796066284,8.95462703704834,"(0.35277492369418484, -0.4711993640419503)","(-0.04525212529051929, -1.7100636440090276)","[0.21895350698175892, 0.04831169837089312, 0.04831169837089312, 0.14999605604949842, 0.0959847124470441]","(-1.2769999999999997, -0.15200000000000014)",1.986143284265768,"[0.21895350698175892, 0.04831169837089312, 0.04831169837089312, 0.14999605604949842, 0.0959847124470441]",0.0,5193.582222222221,6.7942861597680055,138.53333333333333,True,False,"(-0.6769999999999996, -1.2519999999999998)"
0.17523193359375,51.40342402458191,"(-4.595758722957059, 2.0265387283274863)","(-2.1209054595835175, 2.2309932771357484)","[0.1923916359649409, 0.16567785188177986, 0.16567785188177897, 0.14375274131313498, 0.0006811784027710325]","(-2.4269999999999996, 1.6980000000000004)",0.6146346078319066,"[0.30127818214132773, -0.038841546713292985, -0.038841546713292985, 0.27358960881196115, 0.07132495077940086]",84.0,3222.535822222222,9.601007401156524,34.526666666666664,True,False,"(-2.9269999999999996, 1.6479999999999997)"
20.018905878067017,11.698785066604614,"(1.8444062097352991, -6.090878116619872)","(0.1730353741455678, -6.00406706689894)","[0.009516795590857163, 0.008383760584794508, 0.008383760584794508, 0.010224459032745159, 0.0026522620440704993]","(0.8730000000000002, 1.4980000000000002)",7.534650672307057,"[0.30439375045381967, -0.0680401119925218, -0.0680401119925218, 0.2971213794473897, 0.06851255273900232]",0.0,152463.1406222222,68.56493222489243,475.8466666666667,True,False,"(0.17300000000000093, -6.002000000000001)"
20.011435985565182,12.829538822174072,"(-1.4541293405676328, -3.597039098985829)","(-1.6269269405494848, -2.304053479410733)","[0.0029718858779017587, -0.0010783058527823464, -0.0010783058527823464, 0.0023123893774741333, 0.0028979349010538735]","(0.8730000000000002, -5.852)",4.340225710841153,"[0.20812130605300627, 0.013983200081731262, 0.013983200081731262, 0.22680824575994407, 0.06754447727819524]",781.0,23417.33515555556,204.28250148021763,556.88,True,False,"(-1.6269999999999998, -2.302)"
20.066373109817505,44.747409105300896,"(2.3373453757153713, -0.7614909670120606)","(2.9533625400553976, -3.417020603173714)","[0.0037385293069327474, 0.0014857944304829118, 0.0014857944304829118, 0.002365624860985349, 0.0010460374301362529]","(2.873, -3.452)",0.0876452853637098,"[0.28643421653679013, 0.04342044149781965, 0.04342044149781965, 0.2922519320196516, 0.07680118061853637]",262.0,4240.685555555555,24.91301248887617,215.51333333333332,False,True,"(2.873, 0.34799999999999986)"
18.418344020843502,20.598685026168823,"(0.9128206675892838, 2.278197554863361)","(-2.448318781399025, 0.8800960218508254)","[0.001471319590484299, 0.0011183276120179109, 0.0011183276120179109, 0.003484355084709012, 0.0015706716406899946]","(-2.4269999999999996, 0.9980000000000002)",0.11981585247261956,"[0.21936394234101508, 0.026714857243548495, 0.026714857243548273, 0.2711941700759981, 0.07879777532570692]",161.0,3903.207822222222,28.57069626069136,251.42,False,True,"(-0.1769999999999996, 0.9480000000000004)"
20.0190589427948,12.293500900268555,"(-1.1011132596596116, -0.3303133847906793)","(-2.727238403642428, -0.5041215000059845)","[0.1613633800258043, -0.05239868937718151, -0.05239868937718151, 0.21345782589818785, 0.010261066296511273]","(4.673000000000001, -1.6020000000000003)",7.481234231829221,"[0.2780608544957679, -0.017691697820195973, -0.017691697820195973, 0.2549662158988716, 0.06612482942822961]",781.0,51617.233822222224,204.25191723801709,487.50666666666666,True,False,"(-2.727, -0.5019999999999998)"
0.14170193672180176,53.16163206100464,"(-3.290287932624462, -5.835400873992806)","(-2.2455211860828976, 2.754847023247126)","[0.0037503377167436014, -0.0007116576642465233, -0.0007116576642465233, 0.003198548782248345, 0.001114219150034723]","(-2.1769999999999996, 2.7479999999999993)",0.06886243293373992,"[0.21076973151793865, 0.008279480821645535, 0.008279480821645535, 0.233176658383897, 0.061799348113901274]",369.0,26678.538888888892,45.36079235335875,94.66,False,True,"(-2.6769999999999996, -4.902)"
0.13529706001281738,60.695760011672974,"(4.287427971975734, 1.5277181477190083)","(1.3343494261371107, 1.6011537860104705)","[0.002207890137986057, -0.0012977164918976936, -0.0012977164918976936, 0.0019502149772239186, 0.0019021507626457619]","(-2.5269999999999997, -4.452)",7.17988092852676,"[0.2570549783494904, 0.03884506248805675, 0.03884506248805675, 0.3108262414780807, 0.07249072455634224]",544.0,27903.262222222227,149.41177347153678,293.9266666666667,True,False,"(3.8230000000000013, -0.10200000000000031)"
0.12056207656860353,44.098999977111816,"(0.7690100035387836, 1.6135999746783807)","(-4.677826749945355, 0.3543790818969566)","[0.0022249683403536835, -0.0008834743024679348, -0.0008834743024679348, 0.0018532723681214114, 0.0016149755171488524]","(-4.726999999999999, 0.29800000000000004)",0.07481048988263815,"[0.3147034279735308, 0.01479866222449222, 0.01479866222449222, 0.2646159446100529, 0.07350675324505006]",263.0,2856.928888888889,75.79771517584868,277.52666666666664,False,True,"(0.7230000000000008, 2.8480000000000008)"
20.010807991027832,11.93716287612915,"(0.933025768672465, 0.8142348913834949)","(0.23306356788794938, 1.7097649028489454)","[0.1824350159396626, -0.09490693147246199, -0.09490693147246199, 0.053437465376044574, 0.20001600797054508]","(4.023000000000001, -1.0519999999999996)",4.689452370806048,"[0.23563635997019095, -0.04443389969548617, -0.04443389969548617, 0.18094526581187642, 0.09003488725786686]",781.0,51492.39715555557,195.94469914650452,548.4866666666667,True,False,"(0.42300000000000093, 1.9480000000000004)"
0.12380194664001465,50.90291810035706,"(-2.942555154234705, -5.296129709251616)","(-3.482439617058513, 2.413287813966033)","[0.0023040046243298917, 0.00011388345913587727, 0.00011388345913587727, 0.001581751952266508, 0.0007904259182409768]","(-3.4769999999999994, 2.3979999999999997)",0.01622672763077391,"[0.2115809127692767, -0.03285761562250045, -0.03285761562250045, 0.2398536762847705, 0.06223451764944998]",331.0,4010.6238222222223,69.07911703940236,104.36,False,True,"(-3.5269999999999997, -4.152)"
0.1945040225982666,48.24940013885498,"(0.6127145068584267, 1.3736835582610012)","(1.09678350074145, 0.3842455459861758)","[0.002053069029518184, -0.000766501960948629, -0.000766501960948629, 0.0016690410052624949, 0.0015286737458312474]","(3.673000000000001, -5.702)",6.609029905900602,"[0.27278737363097666, 0.02241985367923449, 0.02241985367923449, 0.28311569030749206, 0.07767966787890283]",327.0,6432.818888888888,62.91158142048626,379.7533333333333,True,False,"(0.3230000000000004, 0.24800000000000022)"
20.022927045822144,23.28750991821289,"(-1.7745906272044083, -2.8075755903309734)","(-0.5798764158946352, -4.158163902710616)","[0.0009589052683398602, -1.9023800536643876e-05, -1.9023800536643876e-05, 0.0007856003116017973, 0.0014768698829722496]","(-3.4769999999999994, 0.09799999999999986)",5.1486169238268635,"[0.2367747604165822, -0.03129461093955399, -0.0312946109395531, 0.21288828562985973, 0.06729399347850484]",289.0,4060.652622222223,30.7260824226994,89.84,True,False,"(-0.577, -4.152)"
0.1779959201812744,38.29925799369811,"(-1.4434387572547862, 1.0721212874151869)","(-1.4075713782197055, 3.638827587975349)","[0.006360211954638442, -0.004676342665733468, -0.004676342665733441, 0.005084751517536623, 0.006657158695380622]","(-0.27699999999999925, 0.9480000000000004)",2.918688875070248,"[0.2027143983858759, -0.009860661052213393, -0.009860661052213393, 0.262187476113232, 0.07006441160839337]",52.0,47530.45173333334,8.374874657636807,158.56666666666666,False,True,"(-2.5769999999999995, 2.4480000000000004)"
0.14110088348388672,23.431738138198853,"(-3.4415476095386337, -3.773556947798647)","(-2.8702749184193217, -4.342426738751773)","[0.005668963688444606, -0.001194850185976648, -0.001194850185976648, 0.0057411198934929075, 0.0012210174076420994]","(-2.877, -4.452)",0.10977944389929713,"[0.19393172253333368, -0.05156455160970985, -0.05156455160971163, 0.1992088772461713, 0.06531345213797983]",13.0,276.6999555555556,3.85928686289466,26.34,False,True,"(-4.276999999999999, -2.802)"
0.12936782836914062,84.47167015075685,"(-0.6497592900820965, -4.510349860589565)","(-4.357866530739343, -0.3041372043995063)","[0.0007922006426284156, 9.3788316089638e-05, 9.3788316089638e-05, 0.0010826024667672102, 0.0007683707444513972]","(-4.327, -0.3019999999999996)",0.03094043248773459,"[0.3311992128605934, -0.08362991848553047, -0.08362991848553047, 0.33159558191927374, 0.07504193332285801]",0.0,8538.625066666667,73.24675069673152,145.68,False,True,"(0.7730000000000006, -4.452)"
0.14247703552246094,20.758038997650143,"(0.13709541750060739, -3.9428345113460024)","(-3.8792056011883256, -6.053575389453684)","[0.36277639683416396, 0.3218812972518048, 0.3218812972518066, 0.4257515081633123, 0.009625908266315654]","(-2.877, -5.102)",1.3819955820722378,"[0.21829537951172306, 0.022108670777857276, 0.022108670777857498, 0.22647252137710439, 0.0713607593471388]",153.0,9238.4484,21.990017644032353,150.78666666666666,False,True,"(-0.577, -5.452)"
20.032141923904426,9.25796604156494,"(-1.5548373471467785, -0.8780400668158768)","(-2.8768521856836604, -1.9519370869247676)","[0.15354377355308357, -0.016247318427802693, -0.016247318427802693, 0.1551622653111584, 0.06890681022572523]","(-1.5269999999999997, -5.752000000000001)",4.032688813499597,"[0.15354377355308357, -0.016247318427802693, -0.016247318427802693, 0.1551622653111584, 0.06890681022572523]",236.0,3136.4606222222224,43.85743149432976,243.44,True,False,"(-2.877, -1.952)"
0.1732180118560791,85.26277208328247,"(1.9503245364124493, 1.945524596267822)","(-2.0584150199086926, 2.3868815871597584)","[0.12868837069363082, 0.15203773909262797, 0.15203773909262708, 0.19463660505140634, 0.008881056980503007]","(-3.327, -0.40200000000000014)",3.0638486187982585,"[0.25315108353802884, 0.03056383173659194, 0.030563831736591496, 0.2739179318103826, 0.07050755683267665]",781.0,24548.249822222217,231.9940680210791,535.34,True,False,"(3.473, 2.6479999999999997)"
