calculation_time_without_oracle,execute_time_without_oracle,fake_location,final_location_without_oracle,goal_location,how_far_from_goal_without_oracle,metric-0,metric-1,metric-2,metric-3,move_base_status_aborted_without_oracle,move_base_status_finish_without_oracle,real_location
0.2085790634155273,88.88785481452942,"(-0.6584983970961764, -3.6908605624701947)","(3.172817824696359, -1.034576957867998)","(3.5, -0.8499999999999996)",0.3756551999004237,221.0,392.07862222222224,3.1053279902740014,160.86,False,True,"(-1.049999999999999, -5.6499999999999995)"
0.319350004196167,39.71182990074158,"(7.299642625659711, -2.083882340225791)","(5.848122827455551, 0.4454521558036568)","(5.850000000000001, 0.25)",0.19546117001864727,127.0,1281.6952888888886,5.51636301956059,0.0,False,True,"(7.199999999999999, -1.0)"
0.2877991199493408,165.55170583724976,"(-6.22250428770573, -0.23259386397715276)","(5.833805950750805, -1.3316246673123042)","(5.75, -1.549999999999999)",0.2339043037391739,792.0,28428.86333333334,49.39540444020137,947.4733333333336,False,True,"(-5.6499999999999995, 1.3500000000000014)"
0.2489449977874756,65.70167899131775,"(-0.8810393852234817, -5.34534643804988)","(-5.891532480222472, -4.413931206982254)","(-5.95, -4.35)",0.08663515507658254,217.0,450.3486222222222,4.5217167767753565,483.0533333333333,False,True,"(0.3500000000000014, -4.8)"
0.2195870876312256,49.68994879722595,"(8.725323788726625, -1.6984531059781554)","(5.2578588676099205, 1.910578917836361)","(5.25, 1.75)",0.16077111262166174,799.0,121361.72515555554,31.674377128987764,716.4466666666667,False,True,"(7.0, -1.1500000000000004)"
0.2623729705810547,79.50866508483888,"(5.256834458232582, -3.3312071041112667)","(3.356205933269346, -1.5378521735114583)","(4.100000000000001, -2.55)",1.2560544718957078,554.0,35827.23893333333,25.300901197310964,955.1866666666666,True,False,"(3.3000000000000007, -3.1499999999999995)"
0.21600794792175293,125.38426899909972,"(-5.4128211777602155, -3.3668134982238467)","(0.7440815950430184, -0.3846876486330029)","(-5.8999999999999995, 2.75)",7.346433617482817,295.0,1276.3751555555552,17.603434111187124,0.0,True,False,"(-5.05, -4.3999999999999995)"
20.06128597259521,179.29979300498962,"(4.907976087924779, -4.3086582565563925)","(5.465718086894595, -0.39811946692876493)","(5.4, -0.4499999999999993)",0.08372846981069809,180.0,1256.9806222222219,7.891551975666736,616.42,True,False,"(4.15, -3.6499999999999995)"
0.17232203483581546,15.879588842391968,"(1.9767006487432188, -2.2631805166502317)","(2.019174728128541, -2.5182035242057443)","(3.3000000000000007, -2.5)",1.2809546226772075,45.0,284.4837333333333,1.0425212173090308,17.6,False,True,"(0.6000000000000014, -2.0)"
20.08695912361145,47.33646583557129,"(-4.780844506675836, -2.43802841631532)","(-6.245996134452938, -1.7991821129472758)","(4.9, -4.8)",11.542882561149767,713.0,57076.89106666668,30.411373257453068,1379.7133333333334,True,False,"(-6.25, -1.799999999999999)"
