did_it_really_arrived_oracle,did_it_really_arrived_without-oracle,execute_time_oracle,execute_time_without-oracle,expremint_index,fake_location,final_location_oracle,final_location_without-oracle,goal_location,metric-0,metric-1,metric-2,metric-3,move_base_status_finish_oracle,move_base_status_finish_without-oracle,real_location
False,False,83.08907198905946,74.50519800186156,0.0,"(-1.4029932803983727, -2.5072052009898287)","(-1.100433329606614, 0.4500601142049001)","(-1.1062928668607916, 0.4445917457977549)","(-0.5499999999999989, 0.05000000000000071)",91.0,115.46,2.6623454336306938,275.75,True,True,"(-1.0999999999999996, 0.45000000000000107)"
False,False,44.12213611602783,8.014571905136107,1.0,"(0.6592235313160346, -1.7350269800156943)","(-1.3747908730834013, -0.9605056121211446)","(-0.3500196198028397, -0.8499978420279782)","(-0.29999999999999893, -1.9499999999999993)",49.0,48.9,1.2102621859974334,51.28,False,False,"(-0.34999999999999964, -0.8499999999999996)"
False,False,98.61981201171876,126.1927409172058,0.0,"(3.1540011708577436, -0.9990290613459492)","(0.7811712784464827, -1.0214307706131294)","(0.7018546890672425, 1.094823332755005)","(-3.0, -0.8499999999999996)",0.0,579.24,13.168674384922154,55.35,True,True,"(0.75, -1.25)"
False,False,61.02814102172852,8.752283096313478,1.0,"(2.155425381646494, 1.6628884599194884)","(1.3761432571947052, -0.05833862332459359)","(1.3538490361848794, -0.04862728120209269)","(-0.29999999999999893, 0.45000000000000107)",129.0,118.24,3.4643719306238627,248.85,True,False,"(1.25, -0.049999999999998934)"
False,False,142.81860494613647,127.63793206214905,0.0,"(-5.505489194942734, 5.980536522259321)","(6.746345045575869, 7.935177575244029)","(7.278712820454312, 7.484642684826818)","(8.850000000000001, 7.5)",768.0,579.25,2.332576713030353,1126.88,False,False,"(-7.05, 8.05)"
True,False,376.7979798316956,7.8848350048065186,1.0,"(-2.0240248859200083, -8.213987108671624)","(7.88068221414938, -3.556231947757372)","(-3.6500195548910668, -7.499998224368099)","(7.5, -3.3499999999999996)",539.0,541.46,9.102794775210414,992.02,False,False,"(-3.6499999999999995, -7.5)"
False,False,64.9968888759613,59.59095001220703,0.0,"(-2.9521974099929946, -8.896318106865891)","(3.196025889784187, -8.574936922014032)","(3.2809096196083654, -8.663522808310285)","(2.8000000000000007, -9.65)",259.0,225.51,1.3808759627058917,0.0,False,False,"(-2.5999999999999996, -7.4)"
False,False,126.98747491836548,7.993974924087524,1.0,"(3.1356898432623526, -5.798862309516817)","(-0.9602371701669288, -1.1089009020343013)","(1.3907446783662805, -5.599998041264543)","(1.6500000000000004, 3.3500000000000014)",556.0,563.99,11.96815872298162,1158.75,True,False,"(1.4000000000000004, -5.6)"
False,False,217.60299706459045,5.899351119995117,2.0,"(2.295392275220532, 6.2311337656297034)","(1.9537818516221708, 4.693382851676938)","(2.3290721964336973, 4.300006917546562)","(6.949999999999999, 4.350000000000001)",1507.0,1505.48,51.27020117015013,1210.04,True,False,"(2.3000000000000007, 4.300000000000001)"
