did_it_really_arrived_oracle,did_it_really_arrived_without-oracle,execute_time_oracle,execute_time_without-oracle,expremint_index,fake_location,final_location_oracle,final_location_without-oracle,goal_location,metric-0,metric-1,metric-2,metric-3,move_base_status_finish_oracle,move_base_status_finish_without-oracle,real_location
False,False,65.29199695587158,60.30601477622986,0.0,"(4.474310327711724, 2.8670390884805883)","(2.0934352360802033, 2.3928452656358923)","(2.0971694518559882, 2.3954580655543505)","(1.9000000000000001, 0.1)",0.0,0.0,0.0,0.0,True,True,"(2.1, 2.4000000000000004)"
False,False,78.62428212165833,159.9194769859314,0.0,"(2.0287065670527547, 1.093082001532918)","(6.390986843965786, 3.7369929556605412)","(6.911734939642172, 3.564476914808526)","(4.800000000000001, 3.6)",141.0,101.21,46.65839338842974,567.41,False,False,"(3.7, 1.1)"
